Date,Pharmacy,Location,Drug,Brand,Price,Quantity,Supplier_Name,Batch_Number,Expiry_Date,Sales_Channel,Drug_Form,pharmacy_total_sales,pharmacy_avg_price,brand_avg_price,unusual_discount,rare_brand_flag,supplier_rare_ratio,suspicious_channel,sales_spike_flag,days_to_expiry,near_expiry,risk_score,iso_score,iso_flag,lof_flag,lof_score,svm_score,svm_flag,ensemble_flag
4/27/2024,"Gardner, Robinson and Lawrence",Urban,Paracetamol,PharmaTrust,1225.99,52,Jones Inc,Dd-16328-Jp,4/8/2027,In-Store,Syrup,10821,2662.707176,2737.135992,1,0,0.001557632,0,0,573,0,1,0.008345374,0,0,1.009181903,3.119301327,0,0
3/20/2025,"Walter, Edwards and Rios",Urban,Ciprofloxacin,PharmaTrust,1569.2,90,"Stanley, Tucker and Lee",JM-17278-uW,3/19/2027,Market Stall,Capsule,11030,2514.259953,2585.349387,1,0,0,1,0,553,0,2,0.016639704,0,0,1.004203055,2.176300402,0,0
10/13/2024,Abbott-Munoz,Urban,Metformin,MediPlus,2980.07,70,Walker LLC,kV-98687-EC,11/13/2025,Market Stall,Injection,10754,2703.395693,2606.741863,0,0,0,1,0,62,1,2,0.015687579,0,0,0.990594976,4.796151164,0,0
2/10/2025,Davis and Sons,Urban,Chloroquine,HealthFirst,473.02,66,Chapman and Sons,rC-34873-eT,12/3/2025,In-Store,Tablet,9195,2652.435304,2634.855888,1,0,0,0,0,82,1,2,-0.003907471,1,0,0.998877285,3.102575995,0,0
7/25/2024,Harrell LLC,Urban,Ibuprofen,HealthFirst,2978.81,6,Hancock Inc,ij-45581-oy,10/17/2026,In-Store,Capsule,10645,2453.68267,2446.280768,0,0,0.003154574,0,0,400,0,0,0.003096025,0,0,1.049832537,1.204654783,0,0
6/23/2024,Rodriguez LLC,Rural,Metformin,BioCare,1345.69,51,Jones Inc,ID-31665-Ad,10/3/2025,Market Stall,Injection,11001,2465.058302,2725.983591,1,0,0.001557632,1,0,21,1,3,0.002157624,0,0,1.007154834,3.257379926,0,0
3/14/2025,"Snyder, Campos and Callahan",Rural,Artemisinin,MediPlus,551.65,28,Williams PLC,yE-66909-aw,12/13/2025,Mobile Van,Syrup,11369,2554.065498,2546.82506,1,0,0,1,0,92,0,2,0.027891456,0,0,1.009019148,3.322441462,0,0
2/11/2025,Perez Inc,Urban,Ibuprofen,HealthFirst,2303.29,70,Henderson-Bernard,oF-66889-or,3/30/2026,Mobile Van,Tablet,10540,2520.84669,2446.280768,0,0,0,1,0,199,0,1,0.0204031,0,0,1.006942277,3.668373433,0,0
10/30/2024,Rodriguez LLC,Rural,Artemisinin,HealthFirst,1469.44,14,"Stanley, Tucker and Lee",Di-06562-NI,5/16/2025,Market Stall,Syrup,11001,2465.058302,2628.136554,1,0,0,1,0,-119,1,3,0.004830175,0,0,1.007647811,1.840731439,0,0
4/12/2025,"Flowers, Martin and Kelly",Rural,Chloroquine,BioCare,1177.27,82,Yu Inc,PB-69901-iD,9/14/2025,Mobile Van,Capsule,9479,2505.285275,2746.734071,1,0,0,1,0,2,1,3,0.01453978,0,0,1.002020284,1.168081288,0,0
5/14/2024,James Group,Urban,Artemisinin,BioCare,411.62,43,Novak PLC,uv-46537-Wy,11/28/2025,In-Store,Injection,10165,2818.879725,2560.655458,1,0,0.010169492,0,0,77,1,2,-0.00456308,1,0,1.037136788,-0.189133488,1,1
2/11/2025,Blair PLC,Rural,Coartem,MediPlus,736.99,89,Jones Inc,VI-64170-dw,10/17/2025,In-Store,Tablet,10803,2773.851378,2511.35,1,0,0.001557632,0,0,35,1,2,0.007861106,0,0,1.038408684,1.491545837,0,0
1/2/2025,Morales-Jones,Urban,Ciprofloxacin,BioCare,1950.33,6,Jones Inc,bN-10033-jp,8/2/2025,Mobile Van,Syrup,9250,2586.542787,2743.345291,0,0,0.001557632,1,0,-41,1,2,0.020944378,0,0,1.031097438,2.514441154,0,0
10/25/2024,Allen-Allen,Urban,Artemisinin,PharmaTrust,4874.42,96,Jones Inc,Xx-19374-kM,8/10/2026,In-Store,Syrup,9906,2475.600879,2654.106113,0,0,0.001557632,0,0,332,0,0,0.009840289,0,0,1.025195442,0.899834936,0,0
2/9/2025,Dudley Group,Rural,Amoxicillin,BioCare,3955.46,53,"Daniels, Adkins and Brown",bt-12419-KR,4/1/2027,Market Stall,Syrup,10990,2655.095737,2536.582987,0,0,0,1,0,566,0,1,0.025085834,0,0,0.995375513,3.394858525,0,0
9/17/2024,"Flowers, Martin and Kelly",Urban,Artemisinin,MediPlus,4321.25,29,Unknown,gS-63193-Xt,2/15/2027,Mobile Van,Injection,9479,2505.285275,2546.82506,0,0,0,1,0,521,0,1,0.03087818,0,0,1.00996888,1.697140264,0,0
1/15/2025,"Reid, Ferguson and Sanchez",Urban,Ibuprofen,HealthFirst,2112.64,36,Yu Inc,IB-91905-Qx,6/18/2025,In-Store,Injection,9712,2619.77625,2446.280768,0,0,0,0,0,-86,1,1,0.015824587,0,0,1.012917195,2.331151829,0,0
11/7/2024,Perez Inc,Rural,Coartem,MediPlus,753.64,34,Jones-Young,Bx-50671-OD,10/27/2026,Market Stall,Injection,10540,2520.84669,2511.35,1,0,0,1,0,410,0,2,0.012066827,0,0,0.996241111,3.212874887,0,0
6/23/2024,"Mcclain, Miller and Henderson",Urban,Chloroquine,BioCare,2294.69,66,"Robinson, Jones and Welch",ZI-62849-XE,4/22/2026,Mobile Van,Syrup,8783,2658.624444,2746.734071,0,0,0,1,0,222,0,1,0.034716546,0,0,1.011727524,2.743291352,0,0
10/11/2024,James Group,Urban,Ciprofloxacin,HealthFirst,1948.26,9,House-Glover,rC-94531-pW,4/21/2026,Mobile Van,Injection,10165,2818.879725,2466.979798,0,0,0,1,0,221,0,1,0.019441444,0,0,1.046668393,1.122521548,0,0
12/2/2024,Rodriguez LLC,Urban,Metformin,PharmaTrust,1765.68,90,Gomez-Jenkins,ul-96507-Fn,1/26/2026,Market Stall,Syrup,11001,2465.058302,2580.231632,1,0,0,1,0,136,0,2,0.011858519,0,0,1.007411013,3.065778613,0,0
2/28/2025,Arnold Ltd,Rural,Ciprofloxacin,HealthFirst,3154.47,39,Unknown,Ja-45494-Hm,7/1/2025,Market Stall,Tablet,9440,2769.424607,2466.979798,0,0,0,1,0,-73,1,2,0.017893592,0,0,1.014871336,1.92900964,0,0
7/27/2024,"Reid, Ferguson and Sanchez",Rural,Ibuprofen,BioCare,2431.94,57,House-Glover,PT-67837-FC,1/1/2027,In-Store,Capsule,9712,2619.77625,2668.81249,0,0,0,0,0,476,0,0,0.022989469,0,0,0.994848509,3.883930336,0,0
5/1/2024,"Martin, Rose and Obrien",Urban,Artemisinin,BioCare,648.26,97,"Johnston, Sanchez and Kennedy",tQ-14363-Lx,4/28/2026,Market Stall,Injection,9534,2607.434135,2560.655458,1,0,0,1,0,228,0,2,0.01873515,0,0,1.003516504,2.845232959,0,0
11/25/2024,Williams and Sons,Urban,Paracetamol,HealthFirst,4922.89,79,Yu Inc,wS-85685-Dr,12/20/2025,In-Store,Capsule,10187,2580.299314,2487.421723,0,0,0,0,0,99,0,0,0.013923175,0,0,1.025016285,1.791920757,0,0
7/31/2024,Baker and Sons,Urban,Ciprofloxacin,HealthFirst,908.34,89,"Brooks, Lam and Hayes",VI-31351-WS,9/16/2025,In-Store,Capsule,8997,2573.361844,2466.979798,1,0,0,0,0,4,1,2,0.005653579,0,0,1.040469809,0.644042725,0,0
7/8/2024,Williams and Sons,Urban,Coartem,HealthFirst,4603.86,16,Baxter Inc,Ms-37498-gm,12/12/2025,In-Store,Capsule,10187,2580.299314,2538.453128,0,0,0,0,0,91,0,0,0.014889154,0,0,1.010968726,2.424125945,0,0
7/22/2024,Rodriguez LLC,Rural,Azithromycin,PharmaTrust,4186.73,71,Baxter Inc,ir-52408-cd,6/29/2026,In-Store,Capsule,11001,2465.058302,2580.079442,0,0,0,0,0,290,0,0,0.007580681,0,0,0.99942678,2.516385231,0,0
8/16/2024,"Ross, Robinson and Bright",Rural,Ibuprofen,BioCare,3875.91,67,Morton-Chase,sE-27109-EC,1/15/2026,Market Stall,Syrup,10480,2629.578317,2668.81249,0,0,0,1,0,125,0,1,0.018120722,0,0,0.992583511,5.277803104,0,0
7/5/2024,"Flowers, Martin and Kelly",Rural,Artemisinin,HealthFirst,1504.23,41,Jones Inc,zF-04711-eK,8/27/2026,Market Stall,Tablet,9479,2505.285275,2628.136554,1,0,0.001557632,1,0,349,0,2,0.023504766,0,0,1.006896547,4.657751972,0,0
1/16/2025,Garcia-James,Urban,Ibuprofen,HealthFirst,3590.81,9,"West, Henderson and Ramirez",fp-02294-hJ,12/10/2026,Mobile Van,Injection,12036,2445.73185,2446.280768,0,0,0,1,0,454,0,1,0.006396425,0,0,1.047949581,0.205208084,0,0
10/3/2024,"Dyer, Potter and Mack",Rural,Ciprofloxacin,PharmaTrust,2069.49,99,Russell Group,yC-99938-Ct,2/23/2027,Market Stall,Tablet,9353,2615.773865,2585.349387,0,0,0,1,0,529,0,1,0.023384204,0,0,1.002785811,1.937578867,0,0
12/9/2024,Hickman Ltd,Rural,Azithromycin,BioCare,1633.34,50,Yu Inc,NV-64990-gW,10/4/2025,Mobile Van,Syrup,10459,2578.333167,2701.274419,1,0,0,1,0,22,1,3,0.017404664,0,0,0.991841145,4.193861442,0,0
12/23/2024,Carlson-Cruz,Urban,Metformin,MediPlus,2066.51,86,Unknown,lJ-34123-ek,4/28/2025,Mobile Van,Syrup,9614,2686.301584,2606.741863,0,0,0,1,0,-137,1,2,0.025688073,0,0,0.99787561,2.598838935,0,0
9/30/2024,"Snyder, Campos and Callahan",Urban,Chloroquine,PharmaTrust,3041.09,85,"Brooks, Lam and Hayes",os-79740-Ts,10/24/2026,In-Store,Capsule,11369,2554.065498,2546.115134,0,0,0,0,0,407,0,0,0.019288609,0,0,1.003850507,2.918923339,0,0
3/24/2025,Garcia-James,Rural,Paracetamol,PharmaTrust,1771.29,59,"Brown, Valdez and Lucas",QZ-71349-mB,7/24/2025,Mobile Van,Capsule,12036,2445.73185,2737.135992,1,0,0.002824859,1,0,-50,1,3,-0.003126668,1,0,1.050550298,1.393097477,0,0
11/22/2024,"Flowers, Martin and Kelly",Rural,Metformin,PharmaTrust,293.04,70,Walker LLC,dk-32421-Yt,8/1/2026,Mobile Van,Syrup,9479,2505.285275,2580.231632,1,0,0,1,0,323,0,2,0.018119878,0,0,0.997255521,2.545866502,0,0
2/9/2025,George Group,Urban,Amoxicillin,HealthFirst,1156.93,3,Hancock Inc,St-94717-Sz,11/23/2025,In-Store,Syrup,8749,2740.227099,2693.365558,1,0,0.003154574,0,0,72,1,2,-0.000256316,1,1,1.075410962,1.386654256,0,1
11/5/2024,Garcia-James,Rural,Artemisinin,HealthFirst,2432.16,33,Novak PLC,cB-87719-Vu,8/7/2026,Mobile Van,Syrup,12036,2445.73185,2628.136554,0,0,0.010169492,1,0,329,0,1,0.00239396,0,0,1.027209719,1.014011999,0,0
7/31/2024,Harrell LLC,Urban,Paracetamol,MediPlus,2977.69,40,Unknown,bW-01399-Rr,7/17/2026,Market Stall,Capsule,10645,2453.68267,2671.728195,0,0,0,1,0,308,0,1,0.029789681,0,0,0.994707177,3.929836223,0,0
5/10/2024,Wilkerson-Day,Urban,Artemisinin,HealthFirst,689.13,99,Gomez-Jenkins,lL-27874-BO,1/18/2027,Market Stall,Tablet,10343,2591.908743,2628.136554,1,0,0,1,0,493,0,2,0.013715387,0,0,1.001572998,2.28887376,0,0
11/1/2024,Smith-Bowen,Urban,Amlodipine,BioCare,530.99,83,"Brown, Valdez and Lucas",uQ-17565-gk,1/7/2026,In-Store,Capsule,10299,2636.747797,2796.977817,1,0,0.002824859,0,0,117,0,1,0.014192232,0,1,1.056233848,2.493831329,0,0
10/1/2024,Carlson-Cruz,Urban,Ciprofloxacin,PharmaTrust,3595.08,56,Jones-Young,Df-74680-uq,1/2/2026,Market Stall,Injection,9614,2686.301584,2585.349387,0,0,0,1,0,112,0,1,0.028651714,0,0,1.000550543,4.877703266,0,0
6/9/2024,"Romero, Gonzalez and Brooks",Rural,Azithromycin,BioCare,1747.06,32,"Woods, Calhoun and Schmidt",Ad-68087-mH,2/1/2026,In-Store,Injection,10482,2573.886005,2701.274419,1,0,0,0,0,142,0,1,0.018541494,0,0,0.99794809,4.761730251,0,0
12/22/2024,"Ross, Robinson and Bright",Urban,Azithromycin,PharmaTrust,1814.7,64,Yu Inc,Ji-77034-sC,3/11/2027,Mobile Van,Syrup,10480,2629.578317,2580.079442,0,0,0,1,0,545,0,1,0.02253636,0,0,0.992903081,3.996249837,0,0
1/21/2025,Carlson-Cruz,Urban,Amlodipine,BioCare,1542.36,77,Henderson-Bernard,Tk-71093-tJ,5/6/2025,Mobile Van,Tablet,9614,2686.301584,2796.977817,1,0,0,1,0,-129,1,3,0.012600466,0,0,1.013631664,0.806732253,0,0
11/25/2024,Frazier Inc,Urban,Artemisinin,PharmaTrust,2545.17,98,"Johnston, Sanchez and Kennedy",hP-61317-jF,4/20/2027,Market Stall,Capsule,9220,2719.996685,2654.106113,0,0,0,1,0,585,0,1,0.023357814,0,0,1.022320615,0.911518689,0,0
1/28/2025,George Group,Rural,Azithromycin,MediPlus,1612.33,52,Henderson-Bernard,Ep-48467-DJ,8/16/2025,In-Store,Injection,8749,2740.227099,2603.236346,1,0,0,0,0,-27,1,2,0.006020263,0,0,1.013161142,2.039424813,0,0
9/20/2024,Rodriguez LLC,Rural,Azithromycin,BioCare,2242.42,96,Novak and Sons,rX-39821-YA,1/14/2026,Mobile Van,Injection,11001,2465.058302,2701.274419,0,0,0,1,0,124,0,1,0.01005862,0,0,1.028838369,2.186594826,0,0
4/22/2025,"Arroyo, Miller and Tucker",Rural,Metformin,HealthFirst,779.15,25,"Brown, Valdez and Lucas",LL-84044-QF,2/27/2027,In-Store,Syrup,10700,2701.783107,2673.077008,1,0,0.002824859,0,0,533,0,1,0.008436895,0,0,1.026168132,3.361370675,0,0
6/21/2024,Arnold Ltd,Urban,Azithromycin,BioCare,4906.45,25,Gomez-Jenkins,JW-78755-Iy,4/14/2026,In-Store,Injection,9440,2769.424607,2701.274419,0,0,0,0,0,214,0,0,0.020928428,0,0,1.015638793,1.288614663,0,0
4/22/2025,Dudley Group,Rural,Amoxicillin,HealthFirst,1516.69,7,Novak and Sons,oX-53396-Ac,12/29/2025,Mobile Van,Syrup,10990,2655.095737,2693.365558,1,0,0,1,0,108,0,2,0.015034654,0,0,1.026135454,3.247418636,0,0
2/8/2025,Ryan PLC,Rural,Artemisinin,BioCare,2453.11,57,"Brown, Valdez and Lucas",ci-76627-GL,1/8/2026,In-Store,Tablet,9077,2528.396444,2560.655458,0,0,0.002824859,0,0,118,0,0,0.01823306,0,0,1.045359775,3.209086671,0,0
3/28/2025,James Group,Rural,Artemisinin,PharmaTrust,2560.38,74,Gray Group,aU-17187-jA,3/3/2027,Market Stall,Tablet,10165,2818.879725,2654.106113,0,0,0,1,0,537,0,1,0.028242929,0,0,1.020954797,1.822271796,0,0
1/4/2025,Abbott-Munoz,Urban,Chloroquine,MediPlus,4970.81,16,Novak and Sons,NS-21745-zP,6/27/2025,Mobile Van,Syrup,10754,2703.395693,2684.35692,0,0,0,1,0,-77,1,2,0.013407371,0,0,1.015377699,1.210613609,0,0
3/21/2025,"Harris, Collins and Carney",Rural,Azithromycin,BioCare,4328.8,55,Gomez-Jenkins,Ic-58657-Ne,10/25/2025,Market Stall,Tablet,10219,2764.789151,2701.274419,0,0,0,1,0,43,1,2,0.018914465,0,0,1.002419622,3.065682461,0,0
12/26/2024,"Romero, Gonzalez and Brooks",Urban,Ibuprofen,BioCare,3370.06,21,"Johnston, Sanchez and Kennedy",WO-43161-Tg,4/5/2026,In-Store,Tablet,10482,2573.886005,2668.81249,0,0,0,0,0,205,0,0,0.018437784,0,0,0.992784394,4.112439057,0,0
6/28/2024,Blair PLC,Urban,Ciprofloxacin,PharmaTrust,1598.04,30,Gomez-Jenkins,sw-40050-xB,8/17/2025,Market Stall,Injection,10803,2773.851378,2585.349387,1,0,0,1,0,-26,1,3,0.017931577,0,0,0.997538235,2.059557224,0,0
7/28/2024,"Arroyo, Miller and Tucker",Rural,Artemisinin,BioCare,3981.57,81,Russell Group,lf-86922-Ny,8/20/2026,Market Stall,Syrup,10700,2701.783107,2560.655458,0,0,0,1,0,342,0,1,0.023844665,0,0,0.996919244,4.084644603,0,0
1/15/2025,"Hoffman, Baker and Richards",Urban,Coartem,HealthFirst,4560.37,19,Chapman and Sons,DO-37923-qD,11/10/2025,In-Store,Syrup,10962,2627.231295,2538.453128,0,0,0,0,0,59,1,1,0.016377601,0,0,1.005547806,3.297883513,0,0
1/8/2025,"Reid, Ferguson and Sanchez",Rural,Azithromycin,BioCare,3558.72,35,Williams PLC,eC-07482-wL,12/14/2025,Market Stall,Capsule,9712,2619.77625,2701.274419,0,0,0,1,0,93,0,1,0.025719809,0,0,0.99224629,4.624056634,0,0
12/29/2024,"Ross, Robinson and Bright",Urban,Chloroquine,PharmaTrust,3725.76,78,Lee-Davis,yE-64743-gp,2/16/2026,In-Store,Tablet,10480,2629.578317,2546.115134,0,0,0,0,0,157,0,0,0.018385024,0,0,0.994746228,3.74521696,0,0
12/3/2024,Williams and Sons,Urban,Metformin,HealthFirst,2458.4,84,Baxter Inc,Qz-59440-ra,7/9/2026,Mobile Van,Syrup,10187,2580.299314,2673.077008,0,0,0,1,0,300,0,1,0.024409144,0,0,0.996982726,4.704931762,0,0
3/26/2025,"Baker, Mason and White",Rural,Azithromycin,PharmaTrust,1870.21,43,"Brown, Valdez and Lucas",MZ-09743-wo,9/2/2026,Market Stall,Tablet,8870,2566.5758,2580.079442,0,0,0.002824859,1,0,355,0,1,0.017839762,0,0,1.0170432,4.495297546,0,0
7/7/2024,Blair PLC,Rural,Ciprofloxacin,BioCare,3380.4,52,"Woods, Calhoun and Schmidt",tY-94210-Cc,7/20/2026,Market Stall,Tablet,10803,2773.851378,2743.345291,0,0,0,1,0,311,0,1,0.019199637,0,0,0.998371203,3.151847393,0,0
9/13/2024,"Snyder, Campos and Callahan",Urban,Amlodipine,MediPlus,4856.89,52,Yu Inc,lm-21456-iY,6/18/2026,Market Stall,Tablet,11369,2554.065498,2644.002179,0,0,0,1,0,279,0,1,0.024211034,0,0,0.996481208,3.958399914,0,0
3/31/2025,Rodriguez LLC,Rural,Ciprofloxacin,BioCare,3188.64,64,Gray Group,qE-58842-Zs,11/26/2026,Mobile Van,Tablet,11001,2465.058302,2743.345291,0,0,0,1,0,440,0,1,0.023197975,0,0,1.002265236,2.794447674,0,0
3/29/2025,"Mcclure, Ward and Lee",Rural,Coartem,BioCare,2302.96,90,Morton-Chase,Wo-51712-RU,10/1/2026,In-Store,Tablet,9290,2618.012487,2554.920325,0,0,0,0,0,384,0,0,0.02458136,0,0,1.002216577,2.358428861,0,0
9/26/2024,Ryan PLC,Urban,Paracetamol,MediPlus,2850.81,12,"Johnston, Sanchez and Kennedy",qI-85160-hD,2/6/2026,In-Store,Capsule,9077,2528.396444,2671.728195,0,0,0,0,0,147,0,0,0.017079395,0,0,1.015509933,1.288670957,0,0
1/11/2025,"Henderson, Ramirez and Lewis",Urban,Azithromycin,BioCare,2642.59,35,"West, Henderson and Ramirez",Ro-49651-Eb,8/20/2026,Mobile Van,Capsule,9784,2639.120846,2701.274419,0,0,0,1,0,342,0,1,0.029762006,0,0,0.993071689,5.032829218,0,0
4/3/2025,Galloway-Wyatt,Rural,Coartem,HealthFirst,4624.97,66,"Stanley, Tucker and Lee",OD-85931-St,9/12/2026,In-Store,Tablet,10624,2721.085841,2538.453128,0,0,0,0,0,365,0,0,0.01622394,0,0,0.997638907,3.062951414,0,0
9/30/2024,"Flowers, Martin and Kelly",Rural,Amlodipine,BioCare,4138.64,37,"Stanley, Tucker and Lee",Fh-12004-gp,3/16/2027,Mobile Van,Capsule,9479,2505.285275,2796.977817,0,0,0,1,0,550,0,1,0.02131266,0,0,1.039220669,0.588599302,0,0
11/19/2024,Abbott-Munoz,Rural,Coartem,BioCare,2849.2,70,Wright and Sons,AL-26758-VU,8/24/2025,Mobile Van,Injection,10754,2703.395693,2554.920325,0,0,0.002949853,1,0,-19,1,2,0.015847593,0,0,1.020373815,5.494328774,0,0
4/3/2025,Arnold Ltd,Urban,Chloroquine,PharmaTrust,409.51,96,Morton-Chase,rc-61796-Sx,10/11/2025,Market Stall,Capsule,9440,2769.424607,2546.115134,1,0,0,1,0,29,1,3,0.009953032,0,0,1.014214455,0.132728774,0,0
10/14/2024,"Walter, Edwards and Rios",Urban,Azithromycin,HealthFirst,2611,76,"Brown, Valdez and Lucas",IP-73515-wd,3/1/2026,In-Store,Capsule,11030,2514.259953,2646.513403,0,0,0.002824859,0,0,170,0,0,0.015416378,0,0,1.015416246,4.442558157,0,0
8/10/2024,Blake and Sons,Rural,Amoxicillin,PharmaTrust,4380.48,20,Chapman and Sons,PO-31713-Mb,6/4/2025,Mobile Van,Injection,12355,2648.726017,2626.481294,0,0,0,1,0,-100,1,2,0.007709925,0,0,1.029652611,0.820543957,0,0
