,transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,"time_of_day(morning, afternoon, evening, night)",is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime
23,TX100023,user_8849,Withdraw Cash,2146.29,Kisumu,Feature Phone,Safaricom,individual,,0,0,0,6/5/2024 1:35
24,TX100024,user_3047,Send Money,623.69,Thika,Android,Telkom Kenya,agent,,0,0,0,6/1/2024 19:48
25,TX100025,user_3747,Deposit Cash,6207.71,Thika,iOS,Telkom Kenya,agent,,0,0,0,6/28/2024 5:18
26,TX100026,user_1189,Withdraw Cash,1373.58,Eldoret,iOS,Airtel,individual,,0,0,1,6/3/2024 14:52
27,TX100027,user_3734,Pay Bill,1900.87,Nyeri,iOS,Safaricom,individual,,0,0,0,6/16/2024 3:14
28,TX100028,user_4005,Buy Airtime,4015.21,Thika,Feature Phone,Airtel,individual,,0,0,0,6/21/2024 20:24
29,TX100029,user_5658,Pay Bill,1526.09,Nyeri,Feature Phone,Telkom Kenya,individual,,0,0,0,6/4/2024 22:44
30,TX100030,user_2899,Buy Airtime,3467.32,Meru,iOS,Safaricom,individual,,0,0,0,6/10/2024 18:14
31,TX100031,user_8734,Lipa na M-Pesa,7578.5,Meru,iOS,Telkom Kenya,individual,,0,0,0,6/12/2024 7:41
32,TX100032,user_2267,Send Money,5587.36,Mombasa,iOS,Telkom Kenya,individual,,0,0,0,6/21/2024 7:35
33,TX100033,user_2528,Send Money,1682.23,Thika,Android,Airtel,agent,,0,0,0,6/17/2024 3:47
34,TX100034,user_4556,Lipa na M-Pesa,1188.56,Eldoret,iOS,Telkom Kenya,individual,,0,0,0,6/7/2024 16:49
35,TX100035,user_4890,Withdraw Cash,1176.65,Mombasa,Android,Safaricom,individual,,0,0,0,6/22/2024 21:54
36,TX100036,user_9838,Lipa na M-Pesa,1500.16,Nakuru,iOS,Safaricom,individual,,0,0,0,6/3/2024 5:36
37,TX100037,user_6393,Deposit Cash,2380.93,Kisumu,Feature Phone,Airtel,individual,,0,0,0,6/14/2024 2:00
38,TX100038,user_9792,Lipa na M-Pesa,1886.07,Thika,iOS,Airtel,individual,,0,0,1,6/11/2024 0:10
39,TX100039,user_9433,Buy Airtime,499.52,Machakos,Android,Safaricom,individual,,0,0,0,6/2/2024 3:25
40,TX100040,user_8513,Deposit Cash,624.67,Eldoret,iOS,Airtel,individual,,0,0,0,6/17/2024 8:36
41,TX100041,user_3612,Lipa na M-Pesa,1469.87,Eldoret,Android,Telkom Kenya,agent,,0,0,0,6/14/2024 10:48
42,TX100042,user_8041,Send Money,2889.89,Nakuru,iOS,Safaricom,individual,,0,0,0,6/25/2024 6:21
43,TX100043,user_7235,Pay Bill,3143.41,Thika,Android,Airtel,agent,,0,0,0,6/1/2024 19:42
44,TX100044,user_6486,Buy Airtime,2330.77,Garissa,Android,Safaricom,agent,,0,1,0,6/5/2024 15:00
45,TX100045,user_8099,Buy Airtime,4698.32,Thika,iOS,Telkom Kenya,individual,,0,0,0,6/6/2024 6:52
46,TX100046,user_1775,   Withdraw   Cash,4677.92,Garissa,iOS,Airtel,individual,,0,0,0,6/1/2024 12:50
47,TX100047,user_9226,Pay Bill,1952.88,Nyeri,Feature Phone,Safaricom,individual,,0,0,0,6/14/2024 11:15
48,TX100048,user_4152,Buy Airtime,465.12,Eldoret,Feature Phone,Telkom Kenya,individual,,0,0,0,6/7/2024 2:26
49,TX100049,user_2585,Lipa na M-Pesa,2643.88,Meru,Feature Phone,Airtel,individual,,0,0,0,6/24/2024 14:11
50,TX100050,user_4943,Buy Airtime,1681.43,Nairobi,Android,Safaricom,individual,,0,0,0,6/12/2024 15:30
51,TX100051,user_8555,Buy Airtime,519.44,Nyeri,Android,Telkom Kenya,individual,,0,1,1,6/19/2024 23:54
52,TX100052,user_4073,Buy Airtime,14025.48,Garissa,Feature Phone,Telkom Kenya,individual,,0,0,0,6/23/2024 14:39
53,TX100053,user_2021,Withdraw Cash,1615.77,Eldoret,Feature Phone,Telkom Kenya,individual,,1,0,0,6/2/2024 0:24
54,TX100054,user_4843,Buy Airtime,3440.36,Meru,iOS,Telkom Kenya,individual,,0,0,0,6/25/2024 22:18
55,TX100055,user_8989,Buy Airtime,2357.59,Machakos,Feature Phone,Telkom Kenya,individual,,0,0,0,6/24/2024 1:52
56,TX100056,user_7873,Withdraw Cash,539.41,Garissa,Android,Airtel,individual,,0,0,0,6/13/2024 15:11
57,TX100057,user_6675,Deposit Cash,200.01,Mombasa,iOS,Telkom Kenya,agent,,0,0,0,6/29/2024 4:12
58,TX100058,user_1161,Pay Bill,3440.09,Nairobi,Feature Phone,Airtel,individual,,0,0,0,6/23/2024 23:05
59,TX100059,user_5297,Deposit Cash,993.02,Nyeri,Feature Phone,Airtel,individual,,0,1,0,6/15/2024 22:23
60,TX100060,user_1995,Send Money,977.4,Garissa,Feature Phone,Safaricom,individual,,0,0,0,6/2/2024 20:20
61,TX100061,user_8629,Withdraw Cash,11011.01,Meru,iOS,Safaricom,individual,,0,0,1,6/19/2024 15:21
62,TX100062,user_2016,Withdraw Cash,2168.16,Nairobi,iOS,Airtel,individual,,0,0,0,6/1/2024 12:54
63,TX100063,user_8869,Buy Airtime,104.54,Eldoret,iOS,Telkom Kenya,individual,,0,0,0,6/8/2024 15:27
64,TX100064,user_7439, Buy   Airtime  ,1453.47,Nakuru,Feature Phone,Telkom Kenya,individual,,0,0,0,6/1/2024 10:45
65,TX100065,user_8892,Send Money,3073.88,Nakuru,iOS,Airtel,individual,,0,0,1,6/2/2024 2:28
66,TX100066,user_7863,Buy Airtime,1394.2,Nakuru,iOS,Telkom Kenya,individual,,0,0,0,6/27/2024 18:50
67,TX100067,user_8916,Lipa na M-Pesa,95.27,Kisumu,iOS,Airtel,individual,,0,0,0,6/17/2024 12:43
68,TX100068,user_9529,Buy Airtime,2056.41,Nakuru,iOS,Safaricom,individual,,0,0,1,6/10/2024 14:22
69,TX100069,user_1878,Buy Airtime,391.81,Eldoret,Android,Telkom Kenya,individual,,0,0,0,6/2/2024 12:50
70,TX100070,user_5887,Lipa na M-Pesa,3378.82,Nakuru,Feature Phone,Telkom Kenya,individual,,0,0,0,6/25/2024 22:28
71,TX100071,user_5859,Send Money,3382.74,Garissa,iOS,Telkom Kenya,individual,,0,0,0,6/3/2024 12:07
72,TX100072,user_7331,Lipa na M-Pesa,134.72,Nakuru,Android,Safaricom,individual,,0,0,0,6/12/2024 1:07
73,TX100073,user_9571,Withdraw Cash,1202,Machakos,Android,Telkom Kenya,individual,,0,1,0,6/16/2024 3:47
74,TX100074,user_9684,Lipa   na M-Pesa,1868.65,Machakos,Feature Phone,Airtel,individual,,0,0,1,6/9/2024 11:07
75,TX100075,user_8208,Pay Bill,2796.83,Kisumu,Feature Phone,Telkom Kenya,individual,,0,0,0,6/7/2024 19:13
76,TX100076,user_6276,Withdraw Cash,1228.73,Nakuru,iOS,Airtel,individual,,0,1,1,6/17/2024 8:56
77,TX100077,user_3062,Buy Airtime,1187.62,Eldoret,Feature Phone,Telkom Kenya,individual,,0,0,0,6/11/2024 0:53
78,TX100078,user_1064,Withdraw Cash,14264.02,Nakuru,Feature Phone,Airtel,individual,,0,0,0,6/28/2024 21:56
79,TX100079,user_9006,Send Money,149.68,Machakos,Feature Phone,Safaricom,agent,,0,0,0,6/25/2024 19:51
80,TX100080,user_3568,Send Money,15798.99,Eldoret,Feature Phone,Telkom Kenya,individual,,0,0,0,6/14/2024 17:09
81,TX100081,user_6463,Lipa na M-Pesa,171.25,Nakuru,iOS,Safaricom,individual,,0,0,0,6/1/2024 23:44
82,TX100082,user_3027,Withdraw Cash,1190.55,Garissa,Android,Safaricom,individual,,0,0,1,6/8/2024 4:14
83,TX100083,user_3695,Buy Airtime,2382.13,Kisumu,Feature Phone,Telkom Kenya,individual,,0,0,0,6/4/2024 3:47
84,TX100084,user_6258,Send   Money,541.33,Thika,Android,Telkom Kenya,individual,,0,0,0,6/21/2024 10:07
85,TX100085,user_6618,Deposit Cash,506.97,Nyeri,Android,Airtel,individual,,0,0,0,6/11/2024 6:30
86,TX100086,user_7736,Buy Airtime,1036.47,Eldoret,Android,Telkom Kenya,individual,,0,0,0,6/27/2024 13:43
87,TX100087,user_1391,Deposit Cash,12708.09,Eldoret,Feature Phone,Telkom Kenya,individual,,0,0,0,6/1/2024 20:06
88,TX100088,user_6892,Pay Bill,1673.79,Thika,Feature Phone,Airtel,individual,,0,0,0,6/12/2024 2:50
89,TX100089,user_4561,Deposit Cash,2921.45,Thika,iOS,Airtel,individual,,0,0,0,6/15/2024 19:08
90,TX100090,user_7184,Send Money,4264.33,Kisumu,Feature Phone,Telkom Kenya,individual,,0,0,1,6/24/2024 9:06
91,TX100091,user_4099,Lipa na M-Pesa,4744.8,Nairobi,Feature Phone,Telkom Kenya,individual,,0,0,0,6/22/2024 23:49
92,TX100092,user_7278,Pay Bill,4077.09,Kisumu,Feature Phone,Telkom Kenya,individual,,0,0,0,6/26/2024 9:05
93,TX100093,user_9392,Withdraw Cash,1438.05,Machakos,Android,Safaricom,individual,,0,0,0,6/20/2024 19:04
94,TX100094,user_4104,Buy Airtime,414.67,Machakos,iOS,Safaricom,individual,,0,0,0,6/26/2024 23:20
95,TX100095,user_8215,Send Money,1158.12,Thika,Android,Telkom Kenya,individual,,0,0,0,6/10/2024 13:44
96,TX100096,user_3454,Pay Bill,826.34,Garissa,iOS,Airtel,individual,,0,0,0,6/20/2024 12:39
97,TX100097,user_9996,Pay Bill,512.76,Mombasa,Feature Phone,Telkom Kenya,individual,,0,0,0,6/12/2024 19:45
98,TX100098,user_3731,Send Money,86.81,Nyeri,Feature Phone,Telkom Kenya,individual,,0,0,0,6/11/2024 10:58
99,TX100099,user_9154,Withdraw Cash,9606.09,Kisumu,Android,Safaricom,individual,,0,0,0,6/14/2024 0:26
100,TX100100,user_6056,Withdraw Cash,8885.6,Mombasa,Android,Telkom Kenya,individual,,0,0,0,6/23/2024 13:17
101,TX100101,user_9110,Lipa na M-Pesa,181.06,Nakuru,Android,Telkom Kenya,individual,,0,0,0,6/28/2024 12:30
102,TX100102,user_4840,Deposit Cash,665.18,Nairobi,iOS,Safaricom,individual,,0,0,0,6/28/2024 14:06
103,TX100103,user_2028,Withdraw Cash,525.85,Nakuru,Android,Safaricom,individual,,0,0,0,6/12/2024 17:41
104,TX100104,user_8385,Lipa na M-Pesa,1155.71,Meru,Feature Phone,Airtel,agent,,0,0,0,6/6/2024 21:26
105,TX100105,user_1502,Deposit Cash,798.85,Eldoret,iOS,Airtel,individual,,0,0,0,6/20/2024 21:02
106,TX100106,user_7910,Pay Bill,10206.22,Thika,iOS,Airtel,individual,,0,0,1,6/29/2024 23:17
107,TX100107,user_7938,Send Money,307.74,Nakuru,Feature Phone,Telkom Kenya,individual,,0,0,1,6/11/2024 4:57
108,TX100108,user_5488,Withdraw Cash,832.44,Nyeri,Android,Airtel,individual,,0,0,0,6/14/2024 18:32
109,TX100109,user_1206,Lipa na M-Pesa,294.59,Nakuru,Android,Safaricom,individual,,0,0,0,6/17/2024 19:26
110,TX100110,user_6134,Pay Bill,13760.17,Machakos,Feature Phone,Airtel,individual,,0,0,0,6/10/2024 3:47
111,TX100111,user_6977,Withdraw Cash,8771.32,Mombasa,Feature Phone,Telkom Kenya,individual,,0,0,0,6/11/2024 12:34
112,TX100112,user_8721,Buy Airtime,4413.53,Kisumu,Feature Phone,Telkom Kenya,agent,,0,0,0,6/14/2024 7:29
113,TX100113,user_8035,Pay Bill,1942.78,Kisumu,Feature Phone,Airtel,individual,,0,0,0,6/27/2024 8:22
114,TX100114,user_2484,Withdraw Cash,738.29,Kisumu,iOS,Telkom Kenya,individual,,0,0,0,6/15/2024 15:46
115,TX100115,user_8858,Pay Bill,876.31,Thika,iOS,Telkom Kenya,individual,,0,0,0,6/24/2024 5:43
116,TX100116,user_1863,Send Money,2048.42,Garissa,Android,Telkom Kenya,individual,,0,0,0,6/4/2024 16:22
117,TX100117,user_3790,Send Money,5116.92,Garissa,iOS,Airtel,individual,,0,0,0,6/2/2024 19:10
118,TX100118,user_8408,Send Money,1076.31,Garissa,iOS,Telkom Kenya,agent,,0,0,0,6/22/2024 8:16
119,TX100119,user_9755,Deposit Cash,1302.74,Kisumu,iOS,Airtel,individual,,0,0,0,6/10/2024 16:27
120,TX100120,user_6116,Buy Airtime,3206.53,Nairobi,Feature Phone,Airtel,individual,,0,0,0,6/5/2024 3:24
121,TX100121,user_7019,Send Money,950.09,Thika,iOS,Telkom Kenya,individual,,0,0,0,6/13/2024 19:25
122,TX100122,user_2757,Buy Airtime,3071.58,Kisumu,Android,Airtel,individual,,0,0,0,6/24/2024 15:54
123,TX100123,user_8574,Send Money,1713.61,Kisumu,iOS,Airtel,individual,,0,0,0,6/22/2024 14:02
124,TX100124,user_7374,Deposit Cash,122.4,Kisumu,Feature Phone,Telkom Kenya,individual,,0,0,0,6/27/2024 12:34
125,TX100125,user_7892,Pay Bill,1803.68,Nyeri,iOS,Telkom Kenya,individual,,0,1,0,6/15/2024 0:50
126,TX100126,user_2678,Withdraw Cash,8819.34,Eldoret,Android,Airtel,agent,,0,0,0,6/2/2024 2:24
127,TX100127,user_4242,Withdraw Cash,1214.09,Nakuru,iOS,Safaricom,individual,,1,0,0,6/5/2024 8:01
128,TX100128,user_5636,Send Money,1364.43,Kisumu,Android,Safaricom,agent,,0,0,0,6/22/2024 8:34
129,TX100129,user_2059,Withdraw Cash,238.75,Meru,Feature Phone,Safaricom,individual,,0,0,0,6/11/2024 0:29
130,TX100130,user_7668,Send Money,3341.22,Nairobi,Android,Safaricom,individual,,0,0,0,6/9/2024 4:34
131,TX100131,user_4157,Send Money,6622.29,Eldoret,Android,Airtel,individual,,0,0,0,6/12/2024 8:34
132,TX100132,user_6915,Lipa na M-Pesa,1523.51,Nairobi,Feature Phone,Telkom Kenya,individual,,0,1,0,6/19/2024 8:54
133,TX100133,user_3693,Lipa na M-Pesa,961.66,Garissa,Android,Safaricom,individual,,0,0,0,6/12/2024 5:39
134,TX100134,user_4627,Lipa na M-Pesa,10981.49,Garissa,iOS,Telkom Kenya,individual,,0,0,0,6/15/2024 1:17
135,TX100135,user_6450,Buy Airtime,4783.72,Eldoret,iOS,Safaricom,individual,,0,0,0,6/3/2024 15:40
136,TX100136,user_2663,Lipa na M-Pesa,2930.88,Nakuru,Android,Safaricom,individual,,0,0,0,6/10/2024 23:19
137,TX100137,user_6592,Send Money,1276.13,Meru,iOS,Safaricom,individual,,0,0,0,6/18/2024 14:08
138,TX100138,user_8392,Deposit Cash,873.2,Garissa,iOS,Telkom Kenya,agent,,0,0,0,6/17/2024 2:54
139,TX100139,user_2306,Deposit Cash,4402.58,Thika,Feature Phone,Telkom Kenya,individual,,0,0,1,6/1/2024 0:58
140,TX100140,user_7776,Pay Bill,2581.96,Eldoret,Android,Safaricom,agent,,0,0,0,6/3/2024 7:33
141,TX100141,user_6864,Lipa na M-Pesa,2573.27,Eldoret,iOS,Telkom Kenya,agent,,0,0,0,6/18/2024 19:45
142,TX100142,user_8526,Deposit Cash,267.99,Mombasa,Android,Safaricom,individual,,1,0,0,6/4/2024 16:59
143,TX100143,user_9901,Lipa na M-Pesa,2512.43,Meru,Android,Airtel,individual,,0,0,0,6/8/2024 7:11
144,TX100144,user_6575,Pay Bill,6055.56,Mombasa,iOS,Telkom Kenya,individual,,0,0,1,6/7/2024 11:51
145,TX100145,user_6530,Deposit Cash,10267.89,Eldoret,Feature Phone,Safaricom,individual,,0,0,0,6/15/2024 6:39
146,TX100146,user_5413,Send Money,394.85,Nakuru,Feature Phone,Airtel,individual,,0,0,0,6/19/2024 7:36
147,TX100147,user_4748,Buy Airtime,3490.92,Eldoret,Android,Airtel,individual,,0,0,1,6/3/2024 16:48
148,TX100148,user_1663,Lipa na M-Pesa,2940.47,Kisumu,Feature Phone,Safaricom,individual,,1,0,0,6/27/2024 3:28
149,TX100149,user_2998,Deposit Cash,7735.42,Mombasa,iOS,Airtel,agent,,0,0,0,6/4/2024 17:28
150,TX100150,user_8994,Deposit Cash,4869.49,Eldoret,iOS,Airtel,individual,,0,0,0,6/25/2024 15:08
151,TX100151,user_2495,Pay Bill,11759.71,Nakuru,Feature Phone,Safaricom,agent,,0,0,0,6/8/2024 16:40
152,TX100152,user_4304,Send Money,11268.91,Nairobi,Feature Phone,Airtel,individual,,0,0,0,6/5/2024 14:30
153,TX100153,user_4763,Withdraw Cash,895.22,Nairobi,Android,Airtel,individual,,0,0,0,6/11/2024 16:46
154,TX100154,user_6232,Deposit Cash,4522.91,Thika,Feature Phone,Safaricom,individual,,0,0,1,6/23/2024 5:02
155,TX100155,user_2853,Buy Airtime,2646.48,Nakuru,Android,Safaricom,individual,,0,0,0,6/24/2024 12:16
156,TX100156,user_7585,Pay Bill,845.48,Eldoret,iOS,Airtel,individual,,0,0,1,6/22/2024 13:29
157,TX100157,user_2291,Deposit Cash,758.63,Nairobi,Feature Phone,Telkom Kenya,individual,,0,0,0,6/2/2024 11:52
158,TX100158,user_4581,Deposit Cash,295.96,Garissa,Android,Safaricom,individual,,0,0,0,6/1/2024 20:34
159,TX100159,user_8554,Pay Bill,5555.93,Eldoret,Android,Telkom Kenya,agent,,0,0,0,6/4/2024 22:45
160,TX100160,user_8280,Pay Bill,1373.08,Kisumu,Android,Safaricom,individual,,0,0,0,6/6/2024 9:26
161,TX100161,user_2636,Lipa na M-Pesa,6806.42,Garissa,Android,Telkom Kenya,individual,,0,0,0,6/1/2024 3:12
162,TX100162,user_4696,Deposit Cash,3280.54,Mombasa,iOS,Safaricom,individual,,0,0,0,6/6/2024 16:45
163,TX100163,user_1698,Withdraw Cash,3919.07,Meru,Feature Phone,Airtel,individual,,0,0,0,6/14/2024 20:31
164,TX100164,user_5737,Buy Airtime,1206.98,Nairobi,Android,Airtel,individual,,0,0,0,6/16/2024 23:43
165,TX100165,user_1854,Send Money,2139.16,Eldoret,Feature Phone,Telkom Kenya,agent,,0,0,0,6/3/2024 18:17
166,TX100166,user_9164,Send Money,1860.49,Machakos,Feature Phone,Telkom Kenya,individual,,0,0,0,6/28/2024 3:09
167,TX100167,user_6855,Withdraw Cash,940.73,Thika,iOS,Safaricom,individual,,0,0,1,6/15/2024 21:19
168,TX100168,user_8392,Pay Bill,6253.96,Nyeri,Feature Phone,Safaricom,individual,,0,0,0,6/4/2024 12:16
169,TX100169,user_7528,Pay Bill,3405.8,Nairobi,iOS,Telkom Kenya,individual,,0,0,0,6/11/2024 8:10
170,TX100170,user_6249,Pay Bill,133.53,Nairobi,iOS,Telkom Kenya,individual,,0,0,0,6/16/2024 3:44
171,TX100171,user_6172,Deposit Cash,6000.18,Nakuru,Android,Airtel,individual,,0,0,1,6/11/2024 9:45
172,TX100172,user_2707,Pay Bill,392.32,Thika,iOS,Telkom Kenya,individual,,0,0,1,6/22/2024 12:41
173,TX100173,user_6791,Pay Bill,1809.52,Machakos,Android,Airtel,individual,,0,0,0,6/7/2024 13:18
174,TX100174,user_6535,Deposit Cash,2964.14,Kisumu,iOS,Telkom Kenya,individual,,0,0,0,6/21/2024 22:13
175,TX100175,user_5931,Deposit Cash,26.88,Thika,iOS,Airtel,individual,,0,0,0,6/19/2024 7:04
176,TX100176,user_4510,Withdraw Cash,3703.58,Kisumu,Feature Phone,Airtel,agent,,0,0,0,6/15/2024 1:00
177,TX100177,user_1202,Lipa na M-Pesa,3772.78,Machakos,Android,Airtel,individual,,0,0,0,6/11/2024 18:37
178,TX100178,user_5218,Deposit Cash,3699.73,Eldoret,Feature Phone,Safaricom,individual,,0,0,0,6/3/2024 19:25
179,TX100179,user_9958,Buy Airtime,624.72,Mombasa,iOS,Airtel,individual,,0,0,0,6/19/2024 20:01
180,TX100180,user_5389,Pay Bill,1033.74,Nyeri,Android,Telkom Kenya,individual,,0,0,0,6/14/2024 15:52
181,TX100181,user_3327,Lipa na M-Pesa,994.66,Meru,iOS,Telkom Kenya,individual,,0,0,1,6/3/2024 13:47
182,TX100182,user_9004,Send Money,11271.93,Machakos,iOS,Telkom Kenya,individual,,0,0,0,6/2/2024 11:17
183,TX100183,user_3931,Withdraw Cash,244.71,Thika,Feature Phone,Safaricom,individual,,0,0,0,6/18/2024 13:50
184,TX100184,user_8777,Lipa na M-Pesa,1959.82,Kisumu,Android,Airtel,individual,,0,0,0,6/22/2024 14:12
185,TX100185,user_1197,Deposit Cash,7174.7,Mombasa,Android,Safaricom,individual,,0,0,0,6/6/2024 5:54
186,TX100186,user_8125,Pay Bill,5135.75,Eldoret,Android,Airtel,individual,,0,0,0,6/27/2024 9:52
187,TX100187,user_2930,Pay Bill,6049.61,Eldoret,iOS,Telkom Kenya,agent,,0,0,0,6/22/2024 1:56
188,TX100188,user_7287,Pay Bill,12551.32,Nairobi,Android,Airtel,individual,,0,0,0,6/4/2024 15:30
189,TX100189,user_9800,Lipa na M-Pesa,1714.36,Nyeri,iOS,Safaricom,individual,,0,0,1,6/29/2024 14:11
190,TX100190,user_5282,Pay Bill,1296.97,Meru,iOS,Safaricom,individual,,0,0,0,6/7/2024 12:19
191,TX100191,user_3511,Deposit Cash,108.99,Machakos,iOS,Safaricom,individual,,0,0,0,6/26/2024 5:19
192,TX100192,user_1659,Lipa na M-Pesa,568.9,Garissa,Android,Safaricom,individual,,0,0,0,6/5/2024 3:05
193,TX100193,user_3811,Pay Bill,2889.49,Thika,Feature Phone,Telkom Kenya,individual,,0,0,0,6/8/2024 12:37
194,TX100194,user_8098,Send Money,600.5,Kisumu,iOS,Safaricom,individual,,0,1,0,6/22/2024 18:19
195,TX100195,user_7546,Send Money,4665.37,Eldoret,Feature Phone,Safaricom,individual,,0,0,0,6/19/2024 0:31
196,TX100196,user_2986,Buy Airtime,132.8,Mombasa,Android,Safaricom,individual,,0,0,0,6/4/2024 9:50
197,TX100197,user_9338,Pay Bill,1051.45,Garissa,Android,Telkom Kenya,individual,,0,0,0,6/28/2024 16:35
198,TX100198,user_3911,Pay Bill,4161.26,Mombasa,Android,Airtel,individual,,0,0,0,6/16/2024 9:34
199,TX100199,user_2734,Lipa na M-Pesa,1032.66,Meru,Android,Telkom Kenya,individual,,0,0,0,6/5/2024 14:02
200,TX100200,user_2843,Lipa na M-Pesa,4566.64,Nairobi,Android,Telkom Kenya,individual,,0,0,0,6/5/2024 10:19
201,TX100201,user_9680,Pay Bill,19207.99,Thika,Feature Phone,Telkom Kenya,individual,,0,0,0,6/17/2024 1:23
202,TX100202,user_3976,Buy Airtime,5582.37,Eldoret,Android,Airtel,individual,,0,0,0,6/5/2024 10:00
203,TX100203,user_2959,Pay Bill,1464.05,Machakos,Android,Safaricom,individual,,0,1,0,6/16/2024 11:49
204,TX100204,user_6759,Deposit Cash,8079.83,Nairobi,Android,Telkom Kenya,individual,,0,0,0,6/4/2024 1:02
205,TX100205,user_7694,Lipa na M-Pesa,183.88,Nyeri,Android,Safaricom,individual,,0,0,1,6/23/2024 6:19
206,TX100206,user_3385,Pay Bill,4518.53,Thika,Android,Safaricom,individual,,0,0,0,6/23/2024 16:38
207,TX100207,user_5736,Lipa na M-Pesa,82.6,Mombasa,iOS,Airtel,individual,,0,0,0,6/2/2024 20:12
208,TX100208,user_2802,Pay Bill,671.42,Machakos,iOS,Airtel,individual,,0,0,0,6/23/2024 11:23
209,TX100209,user_9155,Withdraw Cash,15361.18,Nakuru,Feature Phone,Telkom Kenya,agent,,0,0,0,6/15/2024 14:09
210,TX100210,user_9120,Lipa na M-Pesa,1566.85,Nakuru,Android,Airtel,individual,,0,0,0,6/1/2024 16:25
211,TX100211,user_7616,Buy Airtime,6011.52,Nakuru,Feature Phone,Airtel,individual,,0,0,0,6/11/2024 6:15
212,TX100212,user_6534,Withdraw Cash,1651.1,Garissa,Feature Phone,Airtel,individual,,0,0,0,6/25/2024 18:00
213,TX100213,user_5061,Deposit Cash,6414.66,Garissa,Android,Safaricom,individual,,0,0,0,6/23/2024 14:24
214,TX100214,user_1262,Pay Bill,11777.66,Meru,Android,Airtel,individual,,0,0,0,6/19/2024 5:36
215,TX100215,user_7287,Deposit Cash,2001.58,Garissa,iOS,Telkom Kenya,individual,,0,0,0,6/23/2024 20:35
216,TX100216,user_9815,Lipa na M-Pesa,2868.26,Meru,Android,Airtel,agent,,0,0,0,6/27/2024 19:29
217,TX100217,user_3049,Withdraw Cash,3467.04,Mombasa,iOS,Telkom Kenya,individual,,0,0,0,6/7/2024 23:22
218,TX100218,user_6423,Deposit Cash,9557.9,Machakos,Feature Phone,Telkom Kenya,individual,,0,0,0,6/19/2024 23:15
