transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,hour,day_of_week,date,time_of_day,user_transaction_count,user_avg_amount,user_total_amount,amount_dev_from_avg,risk_score,is_high_value
TX100010,user_2685,Pay Bill,1383.42,Garissa,Ios,Safaricom,individual,0,0,0,2024-06-10 21:31:00,21,0,2024-06-10,Night,1,1383.42,1383.42,0.0,0,0
TX100011,user_1769,Send Money,9646.1,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 23:33:00,23,3,2024-06-27,Night,4,3299.5550000000003,13198.220000000001,6346.545,0,0
TX100012,user_7949,Pay Bill,1743.04,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-24 19:49:00,19,0,2024-06-24,Evening,3,4839.386666666666,14518.16,-3096.3466666666664,0,0
TX100013,user_3433,Deposit Cash,2023.18,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-13 11:43:00,11,3,2024-06-13,Morning,3,967.2733333333334,2901.82,1055.9066666666668,0,0
TX100014,user_6311,Lipa Na M-Pesa,5582.01,Mombasa,Android,Airtel,individual,0,0,0,2024-06-23 06:58:00,6,6,2024-06-23,Morning,3,2171.7833333333333,6515.35,3410.226666666667,0,0
TX100015,user_6051,Pay Bill,344.11,Meru,Android,Safaricom,individual,0,1,0,2024-06-14 11:54:00,11,4,2024-06-14,Morning,3,1187.4633333333334,3562.3900000000003,-843.3533333333334,1,0
TX100016,user_7420,Pay Bill,704.47,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-16 22:30:00,22,6,2024-06-16,Night,3,419.1033333333333,1257.31,285.36666666666673,0,0
TX100017,user_2184,Lipa Na M-Pesa,12752.37,Meru,Ios,Telkom Kenya,individual,0,0,0,2024-06-27 23:27:00,23,3,2024-06-27,Night,5,4958.398,24791.99,7793.972000000001,0,1
TX100018,user_5555,Buy Airtime,2467.68,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-28 16:02:00,16,4,2024-06-28,Afternoon,5,3671.6,18358.0,-1203.92,0,0
TX100019,user_4385,Withdraw Cash,158.62,Nairobi,Android,Safaricom,individual,0,1,0,2024-06-16 06:53:00,6,6,2024-06-16,Morning,3,803.7666666666668,2411.3,-645.1466666666668,1,0
TX100020,user_7396,Deposit Cash,169.89,Kisumu,Android,Telkom Kenya,agent,0,0,1,2024-06-11 17:11:00,17,1,2024-06-11,Evening,3,3016.9733333333334,9050.92,-2847.0833333333335,1,0
TX100021,user_9666,Deposit Cash,8322.11,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-25 17:20:00,17,1,2024-06-25,Evening,2,4281.79,8563.58,4040.3200000000006,0,0
TX100022,user_3558,Send Money,7232.56,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-12 02:34:00,2,2,2024-06-12,Night,1,7232.56,7232.56,0.0,0,0
TX100023,user_8849,Withdraw Cash,2146.29,Kisumu,Feature Phone,Safaricom,individual,0,0,0,2024-06-05 01:35:00,1,2,2024-06-05,Night,3,2537.8266666666664,7613.48,-391.5366666666664,0,0
TX100024,user_3047,Send Money,623.69,Thika,Android,Telkom Kenya,agent,0,0,0,2024-06-01 19:48:00,19,5,2024-06-01,Evening,2,676.07,1352.14,-52.379999999999995,0,0
TX100025,user_3747,Deposit Cash,6207.71,Thika,Ios,Telkom Kenya,agent,0,0,0,2024-06-28 05:18:00,5,4,2024-06-28,Morning,2,4759.1900000000005,9518.380000000001,1448.5199999999995,0,0
TX100026,user_1189,Withdraw Cash,1373.58,Eldoret,Ios,Airtel,individual,0,0,1,2024-06-03 14:52:00,14,0,2024-06-03,Afternoon,1,1373.58,1373.58,0.0,1,0
TX100027,user_3734,Pay Bill,1900.87,Nyeri,Ios,Safaricom,individual,0,0,0,2024-06-16 03:14:00,3,6,2024-06-16,Night,2,2179.54,4359.08,-278.6700000000001,0,0
TX100028,user_4005,Buy Airtime,4015.21,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-21 20:24:00,20,4,2024-06-21,Evening,2,2904.95,5809.9,1110.2600000000002,0,0
TX100029,user_5658,Pay Bill,1526.09,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 22:44:00,22,1,2024-06-04,Night,3,3772.906666666667,11318.720000000001,-2246.8166666666675,0,0
TX100030,user_2899,Buy Airtime,3467.32,Meru,Ios,Safaricom,individual,0,0,0,2024-06-10 18:14:00,18,0,2024-06-10,Evening,1,3467.32,3467.32,0.0,0,0
TX100031,user_8734,Lipa Na M-Pesa,7578.5,Meru,Ios,Telkom Kenya,individual,0,0,0,2024-06-12 07:41:00,7,2,2024-06-12,Morning,3,5373.626666666666,16120.88,2204.873333333334,0,0
TX100032,user_2267,Send Money,5587.36,Mombasa,Ios,Telkom Kenya,individual,0,0,0,2024-06-21 07:35:00,7,4,2024-06-21,Morning,1,5587.36,5587.36,0.0,0,0
TX100033,user_2528,Send Money,1682.23,Thika,Android,Airtel,agent,0,0,0,2024-06-17 03:47:00,3,0,2024-06-17,Night,1,1682.23,1682.23,0.0,0,0
TX100034,user_4556,Lipa Na M-Pesa,1188.56,Eldoret,Ios,Telkom Kenya,individual,0,0,0,2024-06-07 16:49:00,16,4,2024-06-07,Afternoon,1,1188.56,1188.56,0.0,0,0
TX100035,user_4890,Withdraw Cash,1176.65,Mombasa,Android,Safaricom,individual,0,0,0,2024-06-22 21:54:00,21,5,2024-06-22,Night,1,1176.65,1176.65,0.0,0,0
TX100036,user_9838,Lipa Na M-Pesa,1500.16,Nakuru,Ios,Safaricom,individual,0,0,0,2024-06-03 05:36:00,5,0,2024-06-03,Morning,1,1500.16,1500.16,0.0,0,0
TX100037,user_6393,Deposit Cash,2380.93,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-14 02:00:00,2,4,2024-06-14,Night,2,1903.87,3807.74,477.05999999999995,0,0
TX100038,user_9792,Lipa Na M-Pesa,1886.07,Thika,Ios,Airtel,individual,0,0,1,2024-06-11 00:10:00,0,1,2024-06-11,Night,3,4174.793333333333,12524.38,-2288.7233333333334,1,0
TX100039,user_9433,Buy Airtime,499.52,Machakos,Android,Safaricom,individual,0,0,0,2024-06-02 03:25:00,3,6,2024-06-02,Night,4,3917.6850000000004,15670.740000000002,-3418.1650000000004,0,0
TX100040,user_8513,Deposit Cash,624.67,Eldoret,Ios,Airtel,individual,0,0,0,2024-06-17 08:36:00,8,0,2024-06-17,Morning,1,624.67,624.67,0.0,0,0
TX100041,user_3612,Lipa Na M-Pesa,1469.87,Eldoret,Android,Telkom Kenya,agent,0,0,0,2024-06-14 10:48:00,10,4,2024-06-14,Morning,1,1469.87,1469.87,0.0,0,0
TX100042,user_8041,Send Money,2889.89,Nakuru,Ios,Safaricom,individual,0,0,0,2024-06-25 06:21:00,6,1,2024-06-25,Morning,3,3640.4366666666665,10921.31,-750.5466666666666,0,0
TX100043,user_7235,Pay Bill,3143.41,Thika,Android,Airtel,agent,0,0,0,2024-06-01 19:42:00,19,5,2024-06-01,Evening,1,3143.41,3143.41,0.0,0,0
TX100044,user_6486,Buy Airtime,2330.77,Garissa,Android,Safaricom,agent,0,1,0,2024-06-05 15:00:00,15,2,2024-06-05,Afternoon,2,8279.289999999999,16558.579999999998,-5948.519999999999,1,0
TX100045,user_8099,Buy Airtime,4698.32,Thika,Ios,Telkom Kenya,individual,0,0,0,2024-06-06 06:52:00,6,3,2024-06-06,Morning,5,3634.6059999999998,18173.03,1063.714,0,0
TX100046,user_1775,Withdraw Cash,4677.92,Garissa,Ios,Airtel,individual,0,0,0,2024-06-01 12:50:00,12,5,2024-06-01,Afternoon,2,2672.14,5344.28,2005.7800000000002,0,0
TX100047,user_9226,Pay Bill,1952.88,Nyeri,Feature Phone,Safaricom,individual,0,0,0,2024-06-14 11:15:00,11,4,2024-06-14,Morning,3,2599.46,7798.38,-646.5799999999999,0,0
TX100048,user_4152,Buy Airtime,465.12,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 02:26:00,2,4,2024-06-07,Night,1,465.12,465.12,0.0,0,0
TX100049,user_2585,Lipa Na M-Pesa,2643.88,Meru,Feature Phone,Airtel,individual,0,0,0,2024-06-24 14:11:00,14,0,2024-06-24,Afternoon,1,2643.88,2643.88,0.0,0,0
TX100050,user_4943,Buy Airtime,1681.43,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-12 15:30:00,15,2,2024-06-12,Afternoon,1,1681.43,1681.43,0.0,0,0
TX100051,user_8555,Buy Airtime,519.44,Nyeri,Android,Telkom Kenya,individual,0,1,1,2024-06-19 23:54:00,23,2,2024-06-19,Night,1,519.44,519.44,0.0,2,0
TX100052,user_4073,Buy Airtime,14025.48,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-23 14:39:00,14,6,2024-06-23,Afternoon,1,14025.48,14025.48,0.0,0,1
TX100053,user_2021,Withdraw Cash,1615.77,Eldoret,Feature Phone,Telkom Kenya,individual,1,0,0,2024-06-02 00:24:00,0,6,2024-06-02,Night,1,1615.77,1615.77,0.0,1,0
TX100054,user_4843,Buy Airtime,3440.36,Meru,Ios,Telkom Kenya,individual,0,0,0,2024-06-25 22:18:00,22,1,2024-06-25,Night,1,3440.36,3440.36,0.0,0,0
TX100055,user_8989,Buy Airtime,2357.59,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 01:52:00,1,0,2024-06-24,Night,3,1114.3300000000002,3342.9900000000002,1243.26,0,0
TX100056,user_7873,Withdraw Cash,539.41,Garissa,Android,Airtel,individual,0,0,0,2024-06-13 15:11:00,15,3,2024-06-13,Afternoon,1,539.41,539.41,0.0,0,0
TX100057,user_6675,Deposit Cash,200.01,Mombasa,Ios,Telkom Kenya,agent,0,0,0,2024-06-29 04:12:00,4,5,2024-06-29,Night,3,1091.6866666666667,3275.0600000000004,-891.6766666666667,0,0
TX100058,user_1161,Pay Bill,3440.09,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-23 23:05:00,23,6,2024-06-23,Night,2,3592.82,7185.64,-152.73000000000002,0,0
TX100059,user_5297,Deposit Cash,993.02,Nyeri,Feature Phone,Airtel,individual,0,1,0,2024-06-15 22:23:00,22,5,2024-06-15,Night,1,993.02,993.02,0.0,1,0
TX100060,user_1995,Send Money,977.4,Garissa,Feature Phone,Safaricom,individual,0,0,0,2024-06-02 20:20:00,20,6,2024-06-02,Evening,1,977.4,977.4,0.0,0,0
TX100061,user_8629,Withdraw Cash,11011.01,Meru,Ios,Safaricom,individual,0,0,1,2024-06-19 15:21:00,15,2,2024-06-19,Afternoon,2,10858.26,21716.52,152.75,1,1
TX100062,user_2016,Withdraw Cash,2168.16,Nairobi,Ios,Airtel,individual,0,0,0,2024-06-01 12:54:00,12,5,2024-06-01,Afternoon,3,2644.49,7933.469999999999,-476.3299999999999,0,0
TX100063,user_8869,Buy Airtime,104.54,Eldoret,Ios,Telkom Kenya,individual,0,0,0,2024-06-08 15:27:00,15,5,2024-06-08,Afternoon,3,3723.4066666666663,11170.22,-3618.8666666666663,0,0
TX100064,user_7439,Buy Airtime,1453.47,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 10:45:00,10,5,2024-06-01,Morning,2,2995.9100000000003,5991.820000000001,-1542.4400000000003,0,0
TX100065,user_8892,Send Money,3073.88,Nakuru,Ios,Airtel,individual,0,0,1,2024-06-02 02:28:00,2,6,2024-06-02,Night,2,1729.9250000000002,3459.8500000000004,1343.955,1,0
TX100066,user_7863,Buy Airtime,1394.2,Nakuru,Ios,Telkom Kenya,individual,0,0,0,2024-06-27 18:50:00,18,3,2024-06-27,Evening,1,1394.2,1394.2,0.0,0,0
TX100067,user_8916,Lipa Na M-Pesa,95.27,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-17 12:43:00,12,0,2024-06-17,Afternoon,1,95.27,95.27,0.0,0,0
TX100068,user_9529,Buy Airtime,2056.41,Nakuru,Ios,Safaricom,individual,0,0,1,2024-06-10 14:22:00,14,0,2024-06-10,Afternoon,3,9522.94,28568.82,-7466.530000000001,1,0
TX100069,user_1878,Buy Airtime,391.81,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-02 12:50:00,12,6,2024-06-02,Afternoon,1,391.81,391.81,0.0,0,0
TX100070,user_5887,Lipa Na M-Pesa,3378.82,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-25 22:28:00,22,1,2024-06-25,Night,3,1758.6766666666665,5276.03,1620.1433333333337,0,0
TX100071,user_5859,Send Money,3382.74,Garissa,Ios,Telkom Kenya,individual,0,0,0,2024-06-03 12:07:00,12,0,2024-06-03,Afternoon,2,2400.615,4801.23,982.125,0,0
TX100072,user_7331,Lipa Na M-Pesa,134.72,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 01:07:00,1,2,2024-06-12,Night,3,3627.883333333333,10883.65,-3493.1633333333334,0,0
TX100073,user_9571,Withdraw Cash,1202.0,Machakos,Android,Telkom Kenya,individual,0,1,0,2024-06-16 03:47:00,3,6,2024-06-16,Night,1,1202.0,1202.0,0.0,1,0
TX100074,user_9684,Lipa Na M-Pesa,1868.65,Machakos,Feature Phone,Airtel,individual,0,0,1,2024-06-09 11:07:00,11,6,2024-06-09,Morning,4,8176.2175,32704.87,-6307.567499999999,1,0
TX100075,user_8208,Pay Bill,2796.83,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 19:13:00,19,4,2024-06-07,Evening,1,2796.83,2796.83,0.0,0,0
TX100076,user_6276,Withdraw Cash,1228.73,Nakuru,Ios,Airtel,individual,0,1,1,2024-06-17 08:56:00,8,0,2024-06-17,Morning,2,1641.59,3283.18,-412.8599999999999,2,0
TX100077,user_3062,Buy Airtime,1187.62,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 00:53:00,0,1,2024-06-11,Night,2,1884.6699999999998,3769.3399999999997,-697.05,0,0
TX100078,user_1064,Withdraw Cash,14264.02,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-28 21:56:00,21,4,2024-06-28,Night,2,9218.29,18436.58,5045.73,0,1
TX100079,user_9006,Send Money,149.68,Machakos,Feature Phone,Safaricom,agent,0,0,0,2024-06-25 19:51:00,19,1,2024-06-25,Evening,1,149.68,149.68,0.0,0,0
TX100080,user_3568,Send Money,15798.99,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-14 17:09:00,17,4,2024-06-14,Evening,4,10424.7325,41698.93,5374.2575,0,1
TX100081,user_6463,Lipa Na M-Pesa,171.25,Nakuru,Ios,Safaricom,individual,0,0,0,2024-06-01 23:44:00,23,5,2024-06-01,Night,5,4019.828,20099.14,-3848.578,0,0
TX100082,user_3027,Withdraw Cash,1190.55,Garissa,Android,Safaricom,individual,0,0,1,2024-06-08 04:14:00,4,5,2024-06-08,Night,1,1190.55,1190.55,0.0,1,0
TX100083,user_3695,Buy Airtime,2382.13,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 03:47:00,3,1,2024-06-04,Night,1,2382.13,2382.13,0.0,0,0
TX100084,user_6258,Send Money,541.33,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-21 10:07:00,10,4,2024-06-21,Morning,2,691.09,1382.18,-149.76,0,0
TX100085,user_6618,Deposit Cash,506.97,Nyeri,Android,Airtel,individual,0,0,0,2024-06-11 06:30:00,6,1,2024-06-11,Morning,3,3911.16,11733.48,-3404.1899999999996,0,0
TX100086,user_7736,Buy Airtime,1036.47,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-27 13:43:00,13,3,2024-06-27,Afternoon,1,1036.47,1036.47,0.0,0,0
TX100087,user_1391,Deposit Cash,12708.09,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 20:06:00,20,5,2024-06-01,Evening,2,7137.995,14275.99,5570.095,0,1
TX100088,user_6892,Pay Bill,1673.79,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-12 02:50:00,2,2,2024-06-12,Night,2,1562.2350000000001,3124.4700000000003,111.55499999999984,0,0
TX100089,user_4561,Deposit Cash,2921.45,Thika,Ios,Airtel,individual,0,0,0,2024-06-15 19:08:00,19,5,2024-06-15,Evening,4,4327.3425,17309.37,-1405.8925,0,0
TX100090,user_7184,Send Money,4264.33,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 09:06:00,9,0,2024-06-24,Morning,2,3040.545,6081.09,1223.7849999999999,1,0
TX100091,user_4099,Lipa Na M-Pesa,4744.8,Nairobi,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-22 23:49:00,23,5,2024-06-22,Night,1,4744.8,4744.8,0.0,0,0
TX100092,user_7278,Pay Bill,4077.09,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-26 09:05:00,9,2,2024-06-26,Morning,2,5318.26,10636.52,-1241.17,0,0
TX100093,user_9392,Withdraw Cash,1438.05,Machakos,Android,Safaricom,individual,0,0,0,2024-06-20 19:04:00,19,3,2024-06-20,Evening,2,1973.335,3946.67,-535.2850000000001,0,0
TX100094,user_4104,Buy Airtime,414.67,Machakos,Ios,Safaricom,individual,0,0,0,2024-06-26 23:20:00,23,2,2024-06-26,Night,3,1932.93,5798.79,-1518.26,0,0
TX100095,user_8215,Send Money,1158.12,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-10 13:44:00,13,0,2024-06-10,Afternoon,1,1158.12,1158.12,0.0,0,0
TX100096,user_3454,Pay Bill,826.34,Garissa,Ios,Airtel,individual,0,0,0,2024-06-20 12:39:00,12,3,2024-06-20,Afternoon,3,1815.6566666666668,5446.97,-989.3166666666667,0,0
TX100097,user_9996,Pay Bill,512.76,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-12 19:45:00,19,2,2024-06-12,Evening,3,3286.963333333333,9860.89,-2774.203333333333,0,0
TX100098,user_3731,Send Money,86.81,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 10:58:00,10,1,2024-06-11,Morning,3,2280.3,6840.900000000001,-2193.4900000000002,0,0
TX100099,user_9154,Withdraw Cash,9606.09,Kisumu,Android,Safaricom,individual,0,0,0,2024-06-14 00:26:00,0,4,2024-06-14,Night,2,8028.645,16057.29,1577.4449999999997,0,0
TX100100,user_6056,Withdraw Cash,8885.6,Mombasa,Android,Telkom Kenya,individual,0,0,0,2024-06-23 13:17:00,13,6,2024-06-23,Afternoon,1,8885.6,8885.6,0.0,0,0
TX100101,user_9110,Lipa Na M-Pesa,181.06,Nakuru,Android,Telkom Kenya,individual,0,0,0,2024-06-28 12:30:00,12,4,2024-06-28,Afternoon,1,181.06,181.06,0.0,0,0
TX100102,user_4840,Deposit Cash,665.18,Nairobi,Ios,Safaricom,individual,0,0,0,2024-06-28 14:06:00,14,4,2024-06-28,Afternoon,2,869.98,1739.96,-204.80000000000007,0,0
TX100103,user_2028,Withdraw Cash,525.85,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 17:41:00,17,2,2024-06-12,Evening,1,525.85,525.85,0.0,0,0
TX100104,user_8385,Lipa Na M-Pesa,1155.71,Meru,Feature Phone,Airtel,agent,0,0,0,2024-06-06 21:26:00,21,3,2024-06-06,Night,3,514.6933333333333,1544.08,641.0166666666668,0,0
TX100105,user_1502,Deposit Cash,798.85,Eldoret,Ios,Airtel,individual,0,0,0,2024-06-20 21:02:00,21,3,2024-06-20,Night,2,1732.435,3464.87,-933.5849999999999,0,0
TX100106,user_7910,Pay Bill,10206.22,Thika,Ios,Airtel,individual,0,0,1,2024-06-29 23:17:00,23,5,2024-06-29,Night,2,8918.539999999999,17837.079999999998,1287.6800000000003,1,0
TX100107,user_7938,Send Money,307.74,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-11 04:57:00,4,1,2024-06-11,Night,3,3664.9799999999996,10994.939999999999,-3357.24,1,0
TX100108,user_5488,Withdraw Cash,832.44,Nyeri,Android,Airtel,individual,0,0,0,2024-06-14 18:32:00,18,4,2024-06-14,Evening,1,832.44,832.44,0.0,0,0
TX100109,user_1206,Lipa Na M-Pesa,294.59,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-17 19:26:00,19,0,2024-06-17,Evening,2,3024.965,6049.93,-2730.375,0,0
TX100110,user_6134,Pay Bill,13760.17,Machakos,Feature Phone,Airtel,individual,0,0,0,2024-06-10 03:47:00,3,0,2024-06-10,Night,2,7109.87,14219.74,6650.3,0,1
TX100111,user_6977,Withdraw Cash,8771.32,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 12:34:00,12,1,2024-06-11,Afternoon,3,6209.663333333333,18628.989999999998,2561.6566666666668,0,0
TX100112,user_8721,Buy Airtime,4413.53,Kisumu,Feature Phone,Telkom Kenya,agent,0,0,0,2024-06-14 07:29:00,7,4,2024-06-14,Morning,1,4413.53,4413.53,0.0,0,0
TX100113,user_8035,Pay Bill,1942.78,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-27 08:22:00,8,3,2024-06-27,Morning,2,1044.7649999999999,2089.5299999999997,898.0150000000001,0,0
TX100114,user_2484,Withdraw Cash,738.29,Kisumu,Ios,Telkom Kenya,individual,0,0,0,2024-06-15 15:46:00,15,5,2024-06-15,Afternoon,1,738.29,738.29,0.0,0,0
TX100115,user_8858,Pay Bill,876.31,Thika,Ios,Telkom Kenya,individual,0,0,0,2024-06-24 05:43:00,5,0,2024-06-24,Morning,1,876.31,876.31,0.0,0,0
TX100116,user_1863,Send Money,2048.42,Garissa,Android,Telkom Kenya,individual,0,0,0,2024-06-04 16:22:00,16,1,2024-06-04,Afternoon,1,2048.42,2048.42,0.0,0,0
TX100117,user_3790,Send Money,5116.92,Garissa,Ios,Airtel,individual,0,0,0,2024-06-02 19:10:00,19,6,2024-06-02,Evening,2,2667.94,5335.88,2448.98,0,0
TX100118,user_8408,Send Money,1076.31,Garissa,Ios,Telkom Kenya,agent,0,0,0,2024-06-22 08:16:00,8,5,2024-06-22,Morning,1,1076.31,1076.31,0.0,0,0
TX100119,user_9755,Deposit Cash,1302.74,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-10 16:27:00,16,0,2024-06-10,Afternoon,1,1302.74,1302.74,0.0,0,0
TX100120,user_6116,Buy Airtime,3206.53,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-05 03:24:00,3,2,2024-06-05,Night,1,3206.53,3206.53,0.0,0,0
TX100121,user_7019,Send Money,950.09,Thika,Ios,Telkom Kenya,individual,0,0,0,2024-06-13 19:25:00,19,3,2024-06-13,Evening,3,3265.306666666667,9795.92,-2315.2166666666667,0,0
TX100122,user_2757,Buy Airtime,3071.58,Kisumu,Android,Airtel,individual,0,0,0,2024-06-24 15:54:00,15,0,2024-06-24,Afternoon,3,3833.286666666667,11499.86,-761.7066666666669,0,0
TX100123,user_8574,Send Money,1713.61,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-22 14:02:00,14,5,2024-06-22,Afternoon,3,924.65,2773.95,788.9599999999999,0,0
TX100124,user_7374,Deposit Cash,122.4,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 12:34:00,12,3,2024-06-27,Afternoon,1,122.4,122.4,0.0,0,0
TX100125,user_7892,Pay Bill,1803.68,Nyeri,Ios,Telkom Kenya,individual,0,1,0,2024-06-15 00:50:00,0,5,2024-06-15,Night,2,1419.935,2839.87,383.7450000000001,1,0
TX100126,user_2678,Withdraw Cash,8819.34,Eldoret,Android,Airtel,agent,0,0,0,2024-06-02 02:24:00,2,6,2024-06-02,Night,3,7809.849999999999,23429.55,1009.4900000000007,0,0
TX100127,user_4242,Withdraw Cash,1214.09,Nakuru,Ios,Safaricom,individual,1,0,0,2024-06-05 08:01:00,8,2,2024-06-05,Morning,1,1214.09,1214.09,0.0,1,0
TX100128,user_5636,Send Money,1364.43,Kisumu,Android,Safaricom,agent,0,0,0,2024-06-22 08:34:00,8,5,2024-06-22,Morning,2,1370.755,2741.51,-6.3250000000000455,0,0
TX100129,user_2059,Withdraw Cash,238.75,Meru,Feature Phone,Safaricom,individual,0,0,0,2024-06-11 00:29:00,0,1,2024-06-11,Night,1,238.75,238.75,0.0,0,0
TX100130,user_7668,Send Money,3341.22,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-09 04:34:00,4,6,2024-06-09,Night,3,2482.5933333333332,7447.78,858.6266666666666,0,0
TX100131,user_4157,Send Money,6622.29,Eldoret,Android,Airtel,individual,0,0,0,2024-06-12 08:34:00,8,2,2024-06-12,Morning,3,4613.413333333333,13840.24,2008.876666666667,0,0
TX100132,user_6915,Lipa Na M-Pesa,1523.51,Nairobi,Feature Phone,Telkom Kenya,individual,0,1,0,2024-06-19 08:54:00,8,2,2024-06-19,Morning,1,1523.51,1523.51,0.0,1,0
TX100133,user_3693,Lipa Na M-Pesa,961.66,Garissa,Android,Safaricom,individual,0,0,0,2024-06-12 05:39:00,5,2,2024-06-12,Morning,3,530.5666666666666,1591.6999999999998,431.09333333333336,0,0
TX100134,user_4627,Lipa Na M-Pesa,10981.49,Garissa,Ios,Telkom Kenya,individual,0,0,0,2024-06-15 01:17:00,1,5,2024-06-15,Night,2,5720.085,11440.17,5261.405,0,1
