transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,hour,day_of_week,date,time_of_day
TX100029,user_5658,Pay Bill,1526.09,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 22:44:00,22,1,2024-06-04,Night
TX100030,user_2899,Buy Airtime,3467.32,Meru,Ios,Safaricom,individual,0,0,0,2024-06-10 18:14:00,18,0,2024-06-10,Evening
TX100031,user_8734,Lipa Na M-Pesa,7578.5,Meru,Ios,Telkom Kenya,individual,0,0,0,2024-06-12 07:41:00,7,2,2024-06-12,Morning
TX100032,user_2267,Send Money,5587.36,Mombasa,Ios,Telkom Kenya,individual,0,0,0,2024-06-21 07:35:00,7,4,2024-06-21,Morning
TX100033,user_2528,Send Money,1682.23,Thika,Android,Airtel,agent,0,0,0,2024-06-17 03:47:00,3,0,2024-06-17,Night
TX100034,user_4556,Lipa Na M-Pesa,1188.56,Eldoret,Ios,Telkom Kenya,individual,0,0,0,2024-06-07 16:49:00,16,4,2024-06-07,Afternoon
TX100035,user_4890,Withdraw Cash,1176.65,Mombasa,Android,Safaricom,individual,0,0,0,2024-06-22 21:54:00,21,5,2024-06-22,Night
TX100036,user_9838,Lipa Na M-Pesa,1500.16,Nakuru,Ios,Safaricom,individual,0,0,0,2024-06-03 05:36:00,5,0,2024-06-03,Morning
TX100037,user_6393,Deposit Cash,2380.93,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-14 02:00:00,2,4,2024-06-14,Night
TX100038,user_9792,Lipa Na M-Pesa,1886.07,Thika,Ios,Airtel,individual,0,0,1,2024-06-11 00:10:00,0,1,2024-06-11,Night
TX100039,user_9433,Buy Airtime,499.52,Machakos,Android,Safaricom,individual,0,0,0,2024-06-02 03:25:00,3,6,2024-06-02,Night
TX100040,user_8513,Deposit Cash,624.67,Eldoret,Ios,Airtel,individual,0,0,0,2024-06-17 08:36:00,8,0,2024-06-17,Morning
TX100041,user_3612,Lipa Na M-Pesa,1469.87,Eldoret,Android,Telkom Kenya,agent,0,0,0,2024-06-14 10:48:00,10,4,2024-06-14,Morning
TX100042,user_8041,Send Money,2889.89,Nakuru,Ios,Safaricom,individual,0,0,0,2024-06-25 06:21:00,6,1,2024-06-25,Morning
TX100043,user_7235,Pay Bill,3143.41,Thika,Android,Airtel,agent,0,0,0,2024-06-01 19:42:00,19,5,2024-06-01,Evening
TX100044,user_6486,Buy Airtime,2330.77,Garissa,Android,Safaricom,agent,0,1,0,2024-06-05 15:00:00,15,2,2024-06-05,Afternoon
TX100045,user_8099,Buy Airtime,4698.32,Thika,Ios,Telkom Kenya,individual,0,0,0,2024-06-06 06:52:00,6,3,2024-06-06,Morning
TX100046,user_1775,Withdraw Cash,4677.92,Garissa,Ios,Airtel,individual,0,0,0,2024-06-01 12:50:00,12,5,2024-06-01,Afternoon
TX100047,user_9226,Pay Bill,1952.88,Nyeri,Feature Phone,Safaricom,individual,0,0,0,2024-06-14 11:15:00,11,4,2024-06-14,Morning
TX100048,user_4152,Buy Airtime,465.12,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 02:26:00,2,4,2024-06-07,Night
TX100049,user_2585,Lipa Na M-Pesa,2643.88,Meru,Feature Phone,Airtel,individual,0,0,0,2024-06-24 14:11:00,14,0,2024-06-24,Afternoon
TX100050,user_4943,Buy Airtime,1681.43,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-12 15:30:00,15,2,2024-06-12,Afternoon
TX100051,user_8555,Buy Airtime,519.44,Nyeri,Android,Telkom Kenya,individual,0,1,1,2024-06-19 23:54:00,23,2,2024-06-19,Night
TX100052,user_4073,Buy Airtime,14025.48,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-23 14:39:00,14,6,2024-06-23,Afternoon
TX100053,user_2021,Withdraw Cash,1615.77,Eldoret,Feature Phone,Telkom Kenya,individual,1,0,0,2024-06-02 00:24:00,0,6,2024-06-02,Night
TX100054,user_4843,Buy Airtime,3440.36,Meru,Ios,Telkom Kenya,individual,0,0,0,2024-06-25 22:18:00,22,1,2024-06-25,Night
TX100055,user_8989,Buy Airtime,2357.59,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 01:52:00,1,0,2024-06-24,Night
TX100056,user_7873,Withdraw Cash,539.41,Garissa,Android,Airtel,individual,0,0,0,2024-06-13 15:11:00,15,3,2024-06-13,Afternoon
TX100057,user_6675,Deposit Cash,200.01,Mombasa,Ios,Telkom Kenya,agent,0,0,0,2024-06-29 04:12:00,4,5,2024-06-29,Night
TX100058,user_1161,Pay Bill,3440.09,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-23 23:05:00,23,6,2024-06-23,Night
TX100059,user_5297,Deposit Cash,993.02,Nyeri,Feature Phone,Airtel,individual,0,1,0,2024-06-15 22:23:00,22,5,2024-06-15,Night
TX100060,user_1995,Send Money,977.4,Garissa,Feature Phone,Safaricom,individual,0,0,0,2024-06-02 20:20:00,20,6,2024-06-02,Evening
TX100061,user_8629,Withdraw Cash,11011.01,Meru,Ios,Safaricom,individual,0,0,1,2024-06-19 15:21:00,15,2,2024-06-19,Afternoon
TX100062,user_2016,Withdraw Cash,2168.16,Nairobi,Ios,Airtel,individual,0,0,0,2024-06-01 12:54:00,12,5,2024-06-01,Afternoon
TX100063,user_8869,Buy Airtime,104.54,Eldoret,Ios,Telkom Kenya,individual,0,0,0,2024-06-08 15:27:00,15,5,2024-06-08,Afternoon
TX100064,user_7439,Buy Airtime,1453.47,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 10:45:00,10,5,2024-06-01,Morning
TX100065,user_8892,Send Money,3073.88,Nakuru,Ios,Airtel,individual,0,0,1,2024-06-02 02:28:00,2,6,2024-06-02,Night
TX100066,user_7863,Buy Airtime,1394.2,Nakuru,Ios,Telkom Kenya,individual,0,0,0,2024-06-27 18:50:00,18,3,2024-06-27,Evening
TX100067,user_8916,Lipa Na M-Pesa,95.27,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-17 12:43:00,12,0,2024-06-17,Afternoon
TX100068,user_9529,Buy Airtime,2056.41,Nakuru,Ios,Safaricom,individual,0,0,1,2024-06-10 14:22:00,14,0,2024-06-10,Afternoon
TX100069,user_1878,Buy Airtime,391.81,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-02 12:50:00,12,6,2024-06-02,Afternoon
TX100070,user_5887,Lipa Na M-Pesa,3378.82,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-25 22:28:00,22,1,2024-06-25,Night
TX100071,user_5859,Send Money,3382.74,Garissa,Ios,Telkom Kenya,individual,0,0,0,2024-06-03 12:07:00,12,0,2024-06-03,Afternoon
TX100072,user_7331,Lipa Na M-Pesa,134.72,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 01:07:00,1,2,2024-06-12,Night
TX100073,user_9571,Withdraw Cash,1202.0,Machakos,Android,Telkom Kenya,individual,0,1,0,2024-06-16 03:47:00,3,6,2024-06-16,Night
TX100074,user_9684,Lipa Na M-Pesa,1868.65,Machakos,Feature Phone,Airtel,individual,0,0,1,2024-06-09 11:07:00,11,6,2024-06-09,Morning
TX100075,user_8208,Pay Bill,2796.83,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-07 19:13:00,19,4,2024-06-07,Evening
TX100076,user_6276,Withdraw Cash,1228.73,Nakuru,Ios,Airtel,individual,0,1,1,2024-06-17 08:56:00,8,0,2024-06-17,Morning
TX100077,user_3062,Buy Airtime,1187.62,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 00:53:00,0,1,2024-06-11,Night
TX100078,user_1064,Withdraw Cash,14264.02,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-28 21:56:00,21,4,2024-06-28,Night
TX100079,user_9006,Send Money,149.68,Machakos,Feature Phone,Safaricom,agent,0,0,0,2024-06-25 19:51:00,19,1,2024-06-25,Evening
TX100080,user_3568,Send Money,15798.99,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-14 17:09:00,17,4,2024-06-14,Evening
TX100081,user_6463,Lipa Na M-Pesa,171.25,Nakuru,Ios,Safaricom,individual,0,0,0,2024-06-01 23:44:00,23,5,2024-06-01,Night
TX100082,user_3027,Withdraw Cash,1190.55,Garissa,Android,Safaricom,individual,0,0,1,2024-06-08 04:14:00,4,5,2024-06-08,Night
TX100083,user_3695,Buy Airtime,2382.13,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-04 03:47:00,3,1,2024-06-04,Night
TX100084,user_6258,Send Money,541.33,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-21 10:07:00,10,4,2024-06-21,Morning
TX100085,user_6618,Deposit Cash,506.97,Nyeri,Android,Airtel,individual,0,0,0,2024-06-11 06:30:00,6,1,2024-06-11,Morning
TX100086,user_7736,Buy Airtime,1036.47,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-27 13:43:00,13,3,2024-06-27,Afternoon
TX100087,user_1391,Deposit Cash,12708.09,Eldoret,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 20:06:00,20,5,2024-06-01,Evening
TX100088,user_6892,Pay Bill,1673.79,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-12 02:50:00,2,2,2024-06-12,Night
TX100089,user_4561,Deposit Cash,2921.45,Thika,Ios,Airtel,individual,0,0,0,2024-06-15 19:08:00,19,5,2024-06-15,Evening
TX100090,user_7184,Send Money,4264.33,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 09:06:00,9,0,2024-06-24,Morning
TX100091,user_4099,Lipa Na M-Pesa,4744.8,Nairobi,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-22 23:49:00,23,5,2024-06-22,Night
TX100092,user_7278,Pay Bill,4077.09,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-26 09:05:00,9,2,2024-06-26,Morning
TX100093,user_9392,Withdraw Cash,1438.05,Machakos,Android,Safaricom,individual,0,0,0,2024-06-20 19:04:00,19,3,2024-06-20,Evening
TX100094,user_4104,Buy Airtime,414.67,Machakos,Ios,Safaricom,individual,0,0,0,2024-06-26 23:20:00,23,2,2024-06-26,Night
TX100095,user_8215,Send Money,1158.12,Thika,Android,Telkom Kenya,individual,0,0,0,2024-06-10 13:44:00,13,0,2024-06-10,Afternoon
TX100096,user_3454,Pay Bill,826.34,Garissa,Ios,Airtel,individual,0,0,0,2024-06-20 12:39:00,12,3,2024-06-20,Afternoon
TX100097,user_9996,Pay Bill,512.76,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-12 19:45:00,19,2,2024-06-12,Evening
TX100098,user_3731,Send Money,86.81,Nyeri,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 10:58:00,10,1,2024-06-11,Morning
TX100099,user_9154,Withdraw Cash,9606.09,Kisumu,Android,Safaricom,individual,0,0,0,2024-06-14 00:26:00,0,4,2024-06-14,Night
TX100100,user_6056,Withdraw Cash,8885.6,Mombasa,Android,Telkom Kenya,individual,0,0,0,2024-06-23 13:17:00,13,6,2024-06-23,Afternoon
TX100101,user_9110,Lipa Na M-Pesa,181.06,Nakuru,Android,Telkom Kenya,individual,0,0,0,2024-06-28 12:30:00,12,4,2024-06-28,Afternoon
TX100102,user_4840,Deposit Cash,665.18,Nairobi,Ios,Safaricom,individual,0,0,0,2024-06-28 14:06:00,14,4,2024-06-28,Afternoon
TX100103,user_2028,Withdraw Cash,525.85,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-12 17:41:00,17,2,2024-06-12,Evening
TX100104,user_8385,Lipa Na M-Pesa,1155.71,Meru,Feature Phone,Airtel,agent,0,0,0,2024-06-06 21:26:00,21,3,2024-06-06,Night
TX100105,user_1502,Deposit Cash,798.85,Eldoret,Ios,Airtel,individual,0,0,0,2024-06-20 21:02:00,21,3,2024-06-20,Night
TX100106,user_7910,Pay Bill,10206.22,Thika,Ios,Airtel,individual,0,0,1,2024-06-29 23:17:00,23,5,2024-06-29,Night
TX100107,user_7938,Send Money,307.74,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-11 04:57:00,4,1,2024-06-11,Night
TX100108,user_5488,Withdraw Cash,832.44,Nyeri,Android,Airtel,individual,0,0,0,2024-06-14 18:32:00,18,4,2024-06-14,Evening
TX100109,user_1206,Lipa Na M-Pesa,294.59,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-17 19:26:00,19,0,2024-06-17,Evening
TX100110,user_6134,Pay Bill,13760.17,Machakos,Feature Phone,Airtel,individual,0,0,0,2024-06-10 03:47:00,3,0,2024-06-10,Night
TX100111,user_6977,Withdraw Cash,8771.32,Mombasa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-11 12:34:00,12,1,2024-06-11,Afternoon
TX100112,user_8721,Buy Airtime,4413.53,Kisumu,Feature Phone,Telkom Kenya,agent,0,0,0,2024-06-14 07:29:00,7,4,2024-06-14,Morning
TX100113,user_8035,Pay Bill,1942.78,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-27 08:22:00,8,3,2024-06-27,Morning
TX100114,user_2484,Withdraw Cash,738.29,Kisumu,Ios,Telkom Kenya,individual,0,0,0,2024-06-15 15:46:00,15,5,2024-06-15,Afternoon
TX100115,user_8858,Pay Bill,876.31,Thika,Ios,Telkom Kenya,individual,0,0,0,2024-06-24 05:43:00,5,0,2024-06-24,Morning
TX100116,user_1863,Send Money,2048.42,Garissa,Android,Telkom Kenya,individual,0,0,0,2024-06-04 16:22:00,16,1,2024-06-04,Afternoon
TX100117,user_3790,Send Money,5116.92,Garissa,Ios,Airtel,individual,0,0,0,2024-06-02 19:10:00,19,6,2024-06-02,Evening
TX100118,user_8408,Send Money,1076.31,Garissa,Ios,Telkom Kenya,agent,0,0,0,2024-06-22 08:16:00,8,5,2024-06-22,Morning
TX100119,user_9755,Deposit Cash,1302.74,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-10 16:27:00,16,0,2024-06-10,Afternoon
TX100120,user_6116,Buy Airtime,3206.53,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-05 03:24:00,3,2,2024-06-05,Night
TX100121,user_7019,Send Money,950.09,Thika,Ios,Telkom Kenya,individual,0,0,0,2024-06-13 19:25:00,19,3,2024-06-13,Evening
TX100122,user_2757,Buy Airtime,3071.58,Kisumu,Android,Airtel,individual,0,0,0,2024-06-24 15:54:00,15,0,2024-06-24,Afternoon
TX100123,user_8574,Send Money,1713.61,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-22 14:02:00,14,5,2024-06-22,Afternoon
TX100124,user_7374,Deposit Cash,122.4,Kisumu,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 12:34:00,12,3,2024-06-27,Afternoon
TX100125,user_7892,Pay Bill,1803.68,Nyeri,Ios,Telkom Kenya,individual,0,1,0,2024-06-15 00:50:00,0,5,2024-06-15,Night
TX100126,user_2678,Withdraw Cash,8819.34,Eldoret,Android,Airtel,agent,0,0,0,2024-06-02 02:24:00,2,6,2024-06-02,Night
TX100127,user_4242,Withdraw Cash,1214.09,Nakuru,Ios,Safaricom,individual,1,0,0,2024-06-05 08:01:00,8,2,2024-06-05,Morning
TX100128,user_5636,Send Money,1364.43,Kisumu,Android,Safaricom,agent,0,0,0,2024-06-22 08:34:00,8,5,2024-06-22,Morning
TX100129,user_2059,Withdraw Cash,238.75,Meru,Feature Phone,Safaricom,individual,0,0,0,2024-06-11 00:29:00,0,1,2024-06-11,Night
TX100130,user_7668,Send Money,3341.22,Nairobi,Android,Safaricom,individual,0,0,0,2024-06-09 04:34:00,4,6,2024-06-09,Night
TX100131,user_4157,Send Money,6622.29,Eldoret,Android,Airtel,individual,0,0,0,2024-06-12 08:34:00,8,2,2024-06-12,Morning
TX100132,user_6915,Lipa Na M-Pesa,1523.51,Nairobi,Feature Phone,Telkom Kenya,individual,0,1,0,2024-06-19 08:54:00,8,2,2024-06-19,Morning
TX100133,user_3693,Lipa Na M-Pesa,961.66,Garissa,Android,Safaricom,individual,0,0,0,2024-06-12 05:39:00,5,2,2024-06-12,Morning
TX100134,user_4627,Lipa Na M-Pesa,10981.49,Garissa,Ios,Telkom Kenya,individual,0,0,0,2024-06-15 01:17:00,1,5,2024-06-15,Night
TX100135,user_6450,Buy Airtime,4783.72,Eldoret,Ios,Safaricom,individual,0,0,0,2024-06-03 15:40:00,15,0,2024-06-03,Afternoon
TX100136,user_2663,Lipa Na M-Pesa,2930.88,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-10 23:19:00,23,0,2024-06-10,Night
TX100137,user_6592,Send Money,1276.13,Meru,Ios,Safaricom,individual,0,0,0,2024-06-18 14:08:00,14,1,2024-06-18,Afternoon
TX100138,user_8392,Deposit Cash,873.2,Garissa,Ios,Telkom Kenya,agent,0,0,0,2024-06-17 02:54:00,2,0,2024-06-17,Night
TX100139,user_2306,Deposit Cash,4402.58,Thika,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-01 00:58:00,0,5,2024-06-01,Night
TX100140,user_7776,Pay Bill,2581.96,Eldoret,Android,Safaricom,agent,0,0,0,2024-06-03 07:33:00,7,0,2024-06-03,Morning
TX100141,user_6864,Lipa Na M-Pesa,2573.27,Eldoret,Ios,Telkom Kenya,agent,0,0,0,2024-06-18 19:45:00,19,1,2024-06-18,Evening
TX100142,user_8526,Deposit Cash,267.99,Mombasa,Android,Safaricom,individual,1,0,0,2024-06-04 16:59:00,16,1,2024-06-04,Afternoon
TX100143,user_9901,Lipa Na M-Pesa,2512.43,Meru,Android,Airtel,individual,0,0,0,2024-06-08 07:11:00,7,5,2024-06-08,Morning
TX100144,user_6575,Pay Bill,6055.56,Mombasa,Ios,Telkom Kenya,individual,0,0,1,2024-06-07 11:51:00,11,4,2024-06-07,Morning
TX100145,user_6530,Deposit Cash,10267.89,Eldoret,Feature Phone,Safaricom,individual,0,0,0,2024-06-15 06:39:00,6,5,2024-06-15,Morning
TX100146,user_5413,Send Money,394.85,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-19 07:36:00,7,2,2024-06-19,Morning
TX100147,user_4748,Buy Airtime,3490.92,Eldoret,Android,Airtel,individual,0,0,1,2024-06-03 16:48:00,16,0,2024-06-03,Afternoon
TX100148,user_1663,Lipa Na M-Pesa,2940.47,Kisumu,Feature Phone,Safaricom,individual,1,0,0,2024-06-27 03:28:00,3,3,2024-06-27,Night
TX100149,user_2998,Deposit Cash,7735.42,Mombasa,Ios,Airtel,agent,0,0,0,2024-06-04 17:28:00,17,1,2024-06-04,Evening
TX100150,user_8994,Deposit Cash,4869.49,Eldoret,Ios,Airtel,individual,0,0,0,2024-06-25 15:08:00,15,1,2024-06-25,Afternoon
TX100151,user_2495,Pay Bill,11759.71,Nakuru,Feature Phone,Safaricom,agent,0,0,0,2024-06-08 16:40:00,16,5,2024-06-08,Afternoon
TX100152,user_4304,Send Money,11268.91,Nairobi,Feature Phone,Airtel,individual,0,0,0,2024-06-05 14:30:00,14,2,2024-06-05,Afternoon
TX100153,user_4763,Withdraw Cash,895.22,Nairobi,Android,Airtel,individual,0,0,0,2024-06-11 16:46:00,16,1,2024-06-11,Afternoon
TX100154,user_6232,Deposit Cash,4522.91,Thika,Feature Phone,Safaricom,individual,0,0,1,2024-06-23 05:02:00,5,6,2024-06-23,Morning
TX100155,user_2853,Buy Airtime,2646.48,Nakuru,Android,Safaricom,individual,0,0,0,2024-06-24 12:16:00,12,0,2024-06-24,Afternoon
TX100156,user_7585,Pay Bill,845.48,Eldoret,Ios,Airtel,individual,0,0,1,2024-06-22 13:29:00,13,5,2024-06-22,Afternoon
TX100157,user_2291,Deposit Cash,758.63,Nairobi,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-02 11:52:00,11,6,2024-06-02,Morning
TX100158,user_4581,Deposit Cash,295.96,Garissa,Android,Safaricom,individual,0,0,0,2024-06-01 20:34:00,20,5,2024-06-01,Evening
TX100159,user_8554,Pay Bill,5555.93,Eldoret,Android,Telkom Kenya,agent,0,0,0,2024-06-04 22:45:00,22,1,2024-06-04,Night
TX100160,user_8280,Pay Bill,1373.08,Kisumu,Android,Safaricom,individual,0,0,0,2024-06-06 09:26:00,9,3,2024-06-06,Morning
TX100161,user_2636,Lipa Na M-Pesa,6806.42,Garissa,Android,Telkom Kenya,individual,0,0,0,2024-06-01 03:12:00,3,5,2024-06-01,Night
TX100162,user_4696,Deposit Cash,3280.54,Mombasa,Ios,Safaricom,individual,0,0,0,2024-06-06 16:45:00,16,3,2024-06-06,Afternoon
TX100163,user_1698,Withdraw Cash,3919.07,Meru,Feature Phone,Airtel,individual,0,0,0,2024-06-14 20:31:00,20,4,2024-06-14,Evening
TX100164,user_5737,Buy Airtime,1206.98,Nairobi,Android,Airtel,individual,0,0,0,2024-06-16 23:43:00,23,6,2024-06-16,Night
TX100165,user_1854,Send Money,2139.16,Eldoret,Feature Phone,Telkom Kenya,agent,0,0,0,2024-06-03 18:17:00,18,0,2024-06-03,Evening
TX100166,user_9164,Send Money,1860.49,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-28 03:09:00,3,4,2024-06-28,Night
TX100167,user_6855,Withdraw Cash,940.73,Thika,Ios,Safaricom,individual,0,0,1,2024-06-15 21:19:00,21,5,2024-06-15,Night
TX100168,user_8392,Pay Bill,6253.96,Nyeri,Feature Phone,Safaricom,individual,0,0,0,2024-06-04 12:16:00,12,1,2024-06-04,Afternoon
TX100169,user_7528,Pay Bill,3405.8,Nairobi,Ios,Telkom Kenya,individual,0,0,0,2024-06-11 08:10:00,8,1,2024-06-11,Morning
TX100170,user_6249,Pay Bill,133.53,Nairobi,Ios,Telkom Kenya,individual,0,0,0,2024-06-16 03:44:00,3,6,2024-06-16,Night
TX100171,user_6172,Deposit Cash,6000.18,Nakuru,Android,Airtel,individual,0,0,1,2024-06-11 09:45:00,9,1,2024-06-11,Morning
TX100172,user_2707,Pay Bill,392.32,Thika,Ios,Telkom Kenya,individual,0,0,1,2024-06-22 12:41:00,12,5,2024-06-22,Afternoon
TX100173,user_6791,Pay Bill,1809.52,Machakos,Android,Airtel,individual,0,0,0,2024-06-07 13:18:00,13,4,2024-06-07,Afternoon
TX100174,user_6535,Deposit Cash,2964.14,Kisumu,Ios,Telkom Kenya,individual,0,0,0,2024-06-21 22:13:00,22,4,2024-06-21,Night
TX100175,user_5931,Deposit Cash,26.88,Thika,Ios,Airtel,individual,0,0,0,2024-06-19 07:04:00,7,2,2024-06-19,Morning
TX100176,user_4510,Withdraw Cash,3703.58,Kisumu,Feature Phone,Airtel,agent,0,0,0,2024-06-15 01:00:00,1,5,2024-06-15,Night
TX100177,user_1202,Lipa Na M-Pesa,3772.78,Machakos,Android,Airtel,individual,0,0,0,2024-06-11 18:37:00,18,1,2024-06-11,Evening
